climate_zone,year_group,month,gains_solar[W]
cold,1900–1950,1,37.47832116599198
cold,1950–2000,1,34.77654810784731
cold,2000+,1,23.98450833453055
hot dry,1900–1950,1,56.65431077777131
hot dry,1950–2000,1,52.57017321923092
hot dry,2000+,1,36.257394525086944
hot humid,1950–2000,1,45.58490733784156
hot humid,1900–1950,1,49.12525767210716
hot humid,2000+,1,31.43918372345494
marine,1900–1950,1,15.576503233537105
marine,1950–2000,1,14.45337479650757
very cold,1900–1950,1,32.023761322163125
mixed dry,2000+,1,38.537374607216634
mixed dry,1950–2000,1,55.87868185186849
mixed dry,1900–1950,1,60.2195203423451
marine,2000+,1,9.968237116536786
very cold,1950–2000,1,29.68929132478775
very cold,2000+,1,20.49390953089846
hot humid,1900–1950,2,40.94286287453935
hot dry,1950–2000,2,45.84954428771414
marine,1950–2000,2,28.050433196594287
hot humid,2000+,2,26.20261449245638
very cold,1900–1950,2,52.2042808797734
mixed dry,2000+,2,41.28011954404842
mixed dry,1950–2000,2,59.855625703596274
hot humid,1950–2000,2,37.99219989763451
marine,1900–1950,2,30.23014828144108
hot dry,2000+,2,31.622209208658894
hot dry,1900–1950,2,49.411561208197114
cold,1900–1950,2,50.95220275700853
cold,2000+,2,32.607211118105695
cold,1950–2000,2,47.27911163774139
marine,2000+,2,19.345887986581506
mixed dry,1900–1950,2,64.50540615243776
very cold,2000+,2,33.40862424912822
very cold,1950–2000,2,48.3986901935036
marine,1950–2000,3,43.379780029316024
very cold,1900–1950,3,60.17948139351138
hot humid,2000+,3,40.13203708601478
marine,1900–1950,3,46.75069268338508
hot dry,1950–2000,3,63.14474870514313
hot dry,2000+,3,43.55062817260242
hot humid,1950–2000,3,58.189016758179186
marine,2000+,3,29.918267494138018
very cold,1950–2000,3,55.79251414508556
very cold,2000+,3,38.512429419119854
mixed dry,1900–1950,3,76.8179099395684
mixed dry,1950–2000,3,71.28060014646893
mixed dry,2000+,3,49.15948435105482
hot dry,1900–1950,3,68.05041720542508
cold,1900–1950,3,65.91579098798272
hot humid,1900–1950,3,62.70826491453979
cold,2000+,3,42.18326192445668
cold,1950–2000,3,61.16399045787569
cold,1950–2000,4,73.4088225216478
hot humid,1950–2000,4,70.15380708224598
hot humid,1900–1950,4,75.60230023450097
marine,1950–2000,4,50.75015430207677
marine,1900–1950,4,54.693796662390305
cold,2000+,4,50.62821384689002
hot dry,1900–1950,4,77.61968417767262
hot dry,1950–2000,4,72.0241793265741
hot dry,2000+,4,49.67472858746877
cold,1900–1950,4,79.11191808963953
mixed dry,1950–2000,4,81.27313834899137
mixed dry,2000+,4,56.05095311894779
very cold,1900–1950,4,79.3886206963247
hot humid,2000+,4,48.383962217624166
marine,2000+,4,35.001484345798765
mixed dry,1900–1950,4,87.5867011880756
very cold,2000+,4,50.80550015115639
very cold,1950–2000,4,73.60134453691198
mixed dry,1950–2000,5,86.60514483531148
mixed dry,2000+,5,59.72823262228092
very cold,1900–1950,5,77.6104692798852
marine,2000+,5,46.72448763011519
hot humid,2000+,5,52.66258534138246
marine,1900–1950,5,73.01232142903629
marine,1950–2000,5,67.74783991106297
hot dry,2000+,5,51.30097291177458
cold,1900–1950,5,77.06785220878567
cold,1950–2000,5,71.51211120366153
hot dry,1950–2000,5,74.38209685502045
hot dry,1900–1950,5,80.16078653900425
cold,2000+,5,49.320099857272496
hot humid,1950–2000,5,76.35755083281394
hot humid,1900–1950,5,82.2878576475997
mixed dry,1900–1950,5,93.33291528230954
very cold,1950–2000,5,71.95281683100539
very cold,2000+,5,49.66755540286708
mixed dry,2000+,6,59.21505805111028
very cold,1950–2000,6,75.84508785679625
very cold,1900–1950,6,81.80878971718234
mixed dry,1950–2000,6,85.86104850788588
very cold,2000+,6,52.354310284131046
mixed dry,1900–1950,6,92.53101520430944
marine,1900–1950,6,81.03052546880882
marine,1950–2000,6,75.18789921403676
hot dry,2000+,6,54.29159276480781
hot humid,1900–1950,6,81.19984469724552
hot humid,1950–2000,6,75.34794870959273
cold,1950–2000,6,66.23568141155476
marine,2000+,6,51.8557650260985
hot humid,2000+,6,51.966278874002704
hot dry,1950–2000,6,78.7182439712856
hot dry,1900–1950,6,84.83380575882462
cold,2000+,6,45.68107929464072
cold,1900–1950,6,71.38149912911778
hot humid,2000+,7,47.97884524773621
hot humid,1950–2000,7,69.56641210503638
hot dry,2000+,7,54.98031636417508
hot humid,1900–1950,7,74.96928526903746
marine,2000+,7,53.86607564326592
mixed dry,1900–1950,7,91.14225148884252
mixed dry,1950–2000,7,84.57239189224869
very cold,1900–1950,7,84.55959109587772
very cold,1950–2000,7,78.39536118148742
mixed dry,2000+,7,58.32632121026167
marine,1950–2000,7,78.10273479847055
marine,1900–1950,7,84.1718641451195
hot dry,1900–1950,7,85.90997710321545
cold,1900–1950,7,82.46214677708105
cold,2000+,7,52.77221567048254
cold,1950–2000,7,76.5175367430776
hot dry,1950–2000,7,79.71683555912219
very cold,2000+,7,54.11471169166097
marine,1900–1950,8,70.32703503894426
hot humid,1950–2000,8,69.02688537581554
hot humid,2000+,8,47.606742224129576
very cold,2000+,8,47.78450372760853
very cold,1950–2000,8,69.22486157003478
mixed dry,1950–2000,8,80.84205281143691
mixed dry,1900–1950,8,87.1221275552217
marine,2000+,8,45.006029333747534
mixed dry,2000+,8,55.75365005900962
very cold,1900–1950,8,74.66801484238006
cold,2000+,8,42.353112568980876
cold,1950–2000,8,61.41026688538032
cold,1900–1950,8,66.18120055804972
hot dry,1950–2000,8,73.45959477215197
marine,1950–2000,8,65.25617342502878
hot dry,2000+,8,50.664727671919685
hot humid,1900–1950,8,74.38785618790907
hot dry,1900–1950,8,79.16661607240515
cold,2000+,9,34.70839202277933
hot humid,1900–1950,9,63.909573955269586
hot dry,2000+,9,34.99431246801703
marine,1900–1950,9,63.08856745524894
hot dry,1950–2000,9,50.73881047071298
hot dry,1900–1950,9,54.68067088642606
cold,1900–1950,9,54.23551934163278
cold,1950–2000,9,50.325737388110916
very cold,1900–1950,9,56.00946802839771
marine,1950–2000,9,58.53962850381634
marine,2000+,9,40.3737470012869
mixed dry,1900–1950,9,74.0616868938056
mixed dry,1950–2000,9,68.72305557438612
mixed dry,2000+,9,47.395644384330474
hot humid,1950–2000,9,59.303750132211526
hot humid,2000+,9,40.90085090696668
very cold,1950–2000,9,51.92648661325045
very cold,2000+,9,35.84378989646047
marine,2000+,10,26.009845277701896
marine,1950–2000,10,37.71279096027218
mixed dry,1950–2000,10,49.7803374140747
mixed dry,1900–1950,10,53.64743660476203
very cold,1950–2000,10,34.542521641448076
very cold,2000+,10,23.84399501252692
marine,1900–1950,10,40.643338870254134
hot dry,1950–2000,10,44.26741963347706
hot humid,1900–1950,10,61.17842773268016
hot humid,1950–2000,10,56.76943166602086
hot dry,2000+,10,30.531025446404875
hot humid,2000+,10,39.15297181610057
very cold,1900–1950,10,37.25860130932268
mixed dry,2000+,10,34.33158134774228
cold,1950–2000,10,33.99457096958481
cold,1900–1950,10,36.6355925923368
hot dry,1900–1950,10,47.70652250842946
cold,2000+,10,23.44519837057442
hot dry,1950–2000,11,51.33567007683843
hot dry,1900–1950,11,55.323900036895175
cold,1900–1950,11,29.00184922811507
cold,1950–2000,11,26.9111361936621
mixed dry,1900–1950,11,58.42752931130361
very cold,1900–1950,11,29.280457214636662
cold,2000+,11,18.559932037602692
hot dry,2000+,11,35.40596365143338
hot humid,1950–2000,11,38.46278522078743
hot humid,1900–1950,11,41.44999621295618
hot humid,2000+,11,26.527169726137824
marine,1900–1950,11,29.40033906029893
very cold,2000+,11,18.73830609911465
very cold,1950–2000,11,27.145968780835215
marine,1950–2000,11,27.28045656233625
marine,2000+,11,18.814848674395453
mixed dry,1950–2000,11,54.21586398131594
mixed dry,2000+,11,37.39059313989801
marine,1900–1950,12,16.65344081692097
hot humid,2000+,12,24.362912694608326
cold,1950–2000,12,20.93596523945699
cold,1900–1950,12,22.562470131117784
hot humid,1900–1950,12,38.06823905376927
hot humid,1950–2000,12,35.324743965388
hot dry,2000+,12,31.881137754138763
cold,2000+,12,14.439007277663165
hot dry,1900–1950,12,49.81615225606157
hot dry,1950–2000,12,46.224968901304045
very cold,1900–1950,12,29.084877811865958
mixed dry,2000+,12,31.86858358531835
mixed dry,1950–2000,12,46.20902335947353
mixed dry,1900–1950,12,49.798691193343515
marine,2000+,12,10.657427066707394
marine,1950–2000,12,15.452660869118828
very cold,1950–2000,12,26.964646715479027
very cold,2000+,12,18.61314319506417
