climate_zone,month,ventilation[W K-1]
cold,1,17.64175801235266
hot dry,1,34.25527969239976
hot humid,1,99.09878657036586
marine,1,43.64904642731214
mixed dry,1,60.27110011928529
very cold,1,7.3380571504120935
hot humid,2,105.02694216479338
hot dry,2,38.279408240708214
marine,2,46.85964421622462
cold,2,20.808558411122856
very cold,2,9.89444667586529
mixed dry,2,63.58098324182564
hot humid,3,123.64557482170328
marine,3,56.027712104388996
cold,3,32.302769774946604
hot dry,3,52.274810286078356
mixed dry,3,73.41273690971808
very cold,3,19.28140144187651
hot dry,4,74.42964161958012
hot humid,4,150.03836860661562
marine,4,70.0028139928477
mixed dry,4,88.47365976189982
very cold,4,38.51335576373852
cold,4,53.56684552285175
cold,5,78.34347164641495
hot dry,5,97.72147593882936
mixed dry,5,103.41407928236079
marine,5,84.57588378312737
hot humid,5,178.01582996778143
very cold,5,64.64691364201306
hot humid,6,198.67035036756445
hot dry,6,115.22317780943719
mixed dry,6,114.9097571200643
marine,6,95.08033244776524
very cold,6,85.44750965480165
cold,6,97.16800377698712
hot dry,7,122.9322087219283
hot humid,7,207.26009433903027
mixed dry,7,119.30581812788442
marine,7,100.10918905518511
cold,7,104.99707667597815
very cold,7,93.89732354019876
hot humid,8,201.45212477049236
mixed dry,8,116.04120776933503
very cold,8,87.97147188266007
hot dry,8,117.45274597066472
cold,8,99.63273142572213
marine,8,96.80062872970763
hot humid,9,182.344901278609
marine,9,86.94512491440697
cold,9,82.46539540128519
very cold,9,69.20788444684825
mixed dry,9,105.7651025907848
hot dry,9,101.25032011693831
marine,10,72.81101311513346
mixed dry,10,91.03617096194941
hot dry,10,78.78275392482576
cold,10,58.422236273685144
very cold,10,43.21834415443404
hot humid,10,155.21505850075252
mixed dry,11,76.02141127538276
marine,11,58.18768900846746
cold,11,35.428037705321366
hot dry,11,55.872381849470976
very cold,11,22.00214743550158
hot humid,11,127.64131668272522
mixed dry,12,64.7583603640199
hot dry,12,39.82994897530383
cold,12,22.146666940197377
marine,12,47.68523120332721
hot humid,12,107.63966389636879
very cold,12,10.887193977817478
