datetime,power[W],heating_demand[W],total_power[W],cooling_demand[W]
2018-01-01 00:00:00,624.0,3740.0,1992.0,0.0
2018-01-01 00:15:00,624.0,3718.0,1992.0,0.0
2018-01-01 00:30:00,624.0,4631.0,2432.0,0.0
2018-01-01 00:45:00,624.0,4543.0,2760.0,0.0
2018-01-01 01:00:00,612.0,3542.0,2548.0,0.0
2018-01-01 01:15:00,556.0,3752.0,1900.0,0.0
2018-01-01 01:30:00,556.0,4027.0,1928.0,0.0
2018-01-01 01:45:00,556.0,4291.0,2024.0,0.0
2018-01-01 02:00:00,556.0,4379.0,2120.0,0.0
2018-01-01 02:15:00,556.0,4467.0,2152.0,0.0
2018-01-01 02:30:00,556.0,4644.0,2180.0,0.0
2018-01-01 02:45:00,556.0,5789.0,2676.0,0.0
2018-01-01 03:00:00,552.0,0.0,3092.0,0.0
2018-01-01 03:15:00,552.0,3401.0,996.0,0.0
2018-01-01 03:30:00,552.0,1442.0,1920.0,0.0
2018-01-01 03:45:00,552.0,1662.0,1080.0,0.0
2018-01-01 04:00:00,552.0,1717.0,1164.0,0.0
2018-01-01 04:15:00,552.0,1827.0,1176.0,0.0
2018-01-01 04:30:00,552.0,2819.0,1628.0,0.0
2018-01-01 04:45:00,552.0,2918.0,1980.0,0.0
2018-01-01 05:00:00,584.0,3084.0,2024.0,0.0
2018-01-01 05:15:00,584.0,3095.0,2112.0,0.0
2018-01-01 05:30:00,584.0,3184.0,2120.0,0.0
2018-01-01 05:45:00,584.0,3228.0,2164.0,0.0
2018-01-01 06:00:00,600.0,3394.0,2188.0,0.0
2018-01-01 06:15:00,600.0,3604.0,2256.0,0.0
2018-01-01 06:30:00,600.0,3692.0,2308.0,0.0
2018-01-01 06:45:00,600.0,3858.0,2328.0,0.0
2018-01-01 07:00:00,632.0,3859.0,2384.0,0.0
2018-01-01 07:15:00,632.0,3924.0,2424.0,0.0
2018-01-01 07:30:00,632.0,4066.0,2460.0,0.0
2018-01-01 07:45:00,632.0,4043.0,2508.0,0.0
2018-01-01 08:00:00,664.0,4142.0,2500.0,0.0
2018-01-01 08:15:00,664.0,4139.0,2580.0,0.0
2018-01-01 08:30:00,664.0,4148.0,2592.0,0.0
2018-01-01 08:45:00,664.0,4224.0,2604.0,0.0
2018-01-01 09:00:00,668.0,4147.0,2628.0,0.0
2018-01-01 09:15:00,668.0,4104.0,2600.0,0.0
2018-01-01 09:30:00,668.0,4216.0,2592.0,0.0
2018-01-01 09:45:00,668.0,4165.0,2620.0,0.0
2018-01-01 10:00:00,780.0,3993.0,2584.0,0.0
2018-01-01 10:15:00,780.0,3910.0,2632.0,0.0
2018-01-01 10:30:00,1392.0,3651.0,2608.0,0.0
2018-01-01 10:45:00,1152.0,3637.0,3124.0,0.0
2018-01-01 11:00:00,776.0,3623.0,2872.0,0.0
2018-01-01 11:15:00,776.0,3521.0,2496.0,0.0
2018-01-01 11:30:00,776.0,3420.0,2472.0,0.0
2018-01-01 11:45:00,776.0,3342.0,2436.0,0.0
2018-01-01 12:00:00,788.0,10049.0,2240.0,0.0
2018-01-01 12:15:00,788.0,7010.0,4364.0,0.0
2018-01-01 12:30:00,788.0,7124.0,3276.0,0.0
2018-01-01 12:45:00,788.0,6546.0,3312.0,0.0
2018-01-01 13:00:00,800.0,6023.0,3092.0,0.0
2018-01-01 13:15:00,800.0,5634.0,2916.0,0.0
2018-01-01 13:30:00,800.0,5359.0,2772.0,0.0
2018-01-01 13:45:00,800.0,5302.0,2676.0,0.0
2018-01-01 14:00:00,796.0,0.0,3060.0,0.0
2018-01-01 14:15:00,796.0,3402.0,1196.0,0.0
2018-01-01 14:30:00,796.0,1746.0,2376.0,0.0
