datetime,air_temperature[C],global_horizontal_irradiance[W m-2],direct_normal_irradiance[W m-2],diffuse_horizontal_irradiance[W m-2]
2018-01-01 00:00:00,-25.03333333333333,0.0,0.0,0.0
2018-01-01 00:15:00,-25.03333333333333,0.0,0.0,0.0
2018-01-01 00:30:00,-25.03333333333333,0.0,0.0,0.0
2018-01-01 00:45:00,-25.03333333333333,0.0,0.0,0.0
2018-01-01 01:00:00,-25.03333333333333,0.0,0.0,0.0
2018-01-01 01:15:00,-25.133333333333333,0.0,0.0,0.0
2018-01-01 01:30:00,-25.23333333333333,0.0,0.0,0.0
2018-01-01 01:45:00,-25.33333333333333,0.0,0.0,0.0
2018-01-01 02:00:00,-25.43333333333333,0.0,0.0,0.0
2018-01-01 02:15:00,-25.46666666666666,0.0,0.0,0.0
2018-01-01 02:30:00,-25.499999999999996,0.0,0.0,0.0
2018-01-01 02:45:00,-25.53333333333333,0.0,0.0,0.0
2018-01-01 03:00:00,-25.566666666666663,0.0,0.0,0.0
2018-01-01 03:15:00,-25.641666666666662,0.0,0.0,0.0
2018-01-01 03:30:00,-25.71666666666666,0.0,0.0,0.0
2018-01-01 03:45:00,-25.791666666666664,0.0,0.0,0.0
2018-01-01 04:00:00,-25.866666666666664,0.0,0.0,0.0
2018-01-01 04:15:00,-25.891666666666666,0.0,0.0,0.0
2018-01-01 04:30:00,-25.916666666666664,0.0,0.0,0.0
2018-01-01 04:45:00,-25.941666666666666,0.0,0.0,0.0
2018-01-01 05:00:00,-25.96666666666667,0.0,0.0,0.0
2018-01-01 05:15:00,-26.058333333333334,0.0,0.0,0.0
2018-01-01 05:30:00,-26.15,0.0,0.0,0.0
2018-01-01 05:45:00,-26.241666666666664,0.0,0.0,0.0
2018-01-01 06:00:00,-26.33333333333333,0.0,0.0,0.0
2018-01-01 06:15:00,-26.391666666666662,0.0,0.0,0.0
2018-01-01 06:30:00,-26.449999999999996,0.0,0.0,0.0
2018-01-01 06:45:00,-26.50833333333333,0.0,0.0,0.0
2018-01-01 07:00:00,-26.566666666666663,0.0,0.0,0.0
2018-01-01 07:15:00,-26.616666666666664,0.0,0.0,0.0
2018-01-01 07:30:00,-26.666666666666664,0.0,0.0,0.0
2018-01-01 07:45:00,-26.716666666666665,0.0,0.0,0.0
2018-01-01 08:00:00,-26.766666666666666,0.0,0.0,0.0
2018-01-01 08:15:00,-26.666666666666664,8.5,53.125,5.0
2018-01-01 08:30:00,-26.566666666666663,17.0,106.25,10.0
2018-01-01 08:45:00,-26.466666666666665,25.5,159.375,15.0
2018-01-01 09:00:00,-26.366666666666664,34.0,212.5,20.0
2018-01-01 09:15:00,-25.999999999999996,67.125,325.5,25.75
2018-01-01 09:30:00,-25.633333333333333,100.25,438.5,31.5
2018-01-01 09:45:00,-25.266666666666666,133.375,551.5,37.25
2018-01-01 10:00:00,-24.9,166.5,664.5,43.0
2018-01-01 10:15:00,-24.441666666666663,198.25,711.5,45.0
2018-01-01 10:30:00,-23.98333333333333,230.0,758.5,47.0
2018-01-01 10:45:00,-23.525,261.75,805.5,49.0
2018-01-01 11:00:00,-23.066666666666663,293.5,852.5,51.0
2018-01-01 11:15:00,-22.60833333333333,313.25,866.5,52.375
2018-01-01 11:30:00,-22.15,333.0,880.5,53.75
2018-01-01 11:45:00,-21.691666666666663,352.75,894.5,55.125
2018-01-01 12:00:00,-21.23333333333333,372.5,908.5,56.5
2018-01-01 12:15:00,-20.766666666666666,379.375,912.875,56.875
2018-01-01 12:30:00,-20.299999999999997,386.25,917.25,57.25
2018-01-01 12:45:00,-19.83333333333333,393.125,921.625,57.625
2018-01-01 13:00:00,-19.366666666666664,400.0,926.0,58.0
2018-01-01 13:15:00,-18.991666666666664,392.875,922.375,57.25
2018-01-01 13:30:00,-18.616666666666664,385.75,918.75,56.5
2018-01-01 13:45:00,-18.241666666666664,378.625,915.125,55.75
2018-01-01 14:00:00,-17.866666666666664,371.5,911.5,55.0
2018-01-01 14:15:00,-17.674999999999997,348.625,883.875,54.25
2018-01-01 14:30:00,-17.48333333333333,325.75,856.25,53.5
2018-01-01 14:45:00,-17.291666666666664,302.875,828.625,52.75
2018-01-01 15:00:00,-17.099999999999998,280.0,801.0,52.0
2018-01-01 15:15:00,-17.15,248.625,759.75,49.0
2018-01-01 15:30:00,-17.2,217.25,718.5,46.0
2018-01-01 15:45:00,-17.25,185.875,677.25,43.0
2018-01-01 16:00:00,-17.3,154.5,636.0,40.0
2018-01-01 16:15:00,-17.675,126.25,565.875,34.25
2018-01-01 16:30:00,-18.05,98.0,495.75,28.5
2018-01-01 16:45:00,-18.425,69.75,425.625,22.75
2018-01-01 17:00:00,-18.8,41.5,355.5,17.0
2018-01-01 17:15:00,-19.116666666666667,31.125,266.625,12.75
2018-01-01 17:30:00,-19.43333333333333,20.75,177.75,8.5
2018-01-01 17:45:00,-19.749999999999996,10.375,88.875,4.25
2018-01-01 18:00:00,-20.066666666666663,0.0,0.0,0.0
2018-01-01 18:15:00,-20.266666666666666,0.0,0.0,0.0
2018-01-01 18:30:00,-20.466666666666665,0.0,0.0,0.0
2018-01-01 18:45:00,-20.666666666666664,0.0,0.0,0.0
2018-01-01 19:00:00,-20.866666666666667,0.0,0.0,0.0
2018-01-01 19:15:00,-20.975,0.0,0.0,0.0
2018-01-01 19:30:00,-21.083333333333336,0.0,0.0,0.0
2018-01-01 19:45:00,-21.191666666666666,0.0,0.0,0.0
2018-01-01 20:00:00,-21.3,0.0,0.0,0.0
2018-01-01 20:15:00,-21.241666666666667,0.0,0.0,0.0
2018-01-01 20:30:00,-21.18333333333333,0.0,0.0,0.0
2018-01-01 20:45:00,-21.124999999999996,0.0,0.0,0.0
2018-01-01 21:00:00,-21.066666666666663,0.0,0.0,0.0
2018-01-01 21:15:00,-21.291666666666664,0.0,0.0,0.0
2018-01-01 21:30:00,-21.516666666666666,0.0,0.0,0.0
2018-01-01 21:45:00,-21.741666666666667,0.0,0.0,0.0
2018-01-01 22:00:00,-21.96666666666667,0.0,0.0,0.0
2018-01-01 22:15:00,-22.033333333333335,0.0,0.0,0.0
2018-01-01 22:30:00,-22.1,0.0,0.0,0.0
2018-01-01 22:45:00,-22.166666666666664,0.0,0.0,0.0
2018-01-01 23:00:00,-22.23333333333333,0.0,0.0,0.0
2018-01-01 23:15:00,-22.208333333333332,0.0,0.0,0.0
2018-01-01 23:30:00,-22.183333333333334,0.0,0.0,0.0
2018-01-01 23:45:00,-22.158333333333335,0.0,0.0,0.0
2018-01-02 00:00:00,-22.133333333333336,0.0,0.0,0.0
2018-01-02 00:15:00,-22.083333333333336,0.0,0.0,0.0
2018-01-02 00:30:00,-22.03333333333333,0.0,0.0,0.0
2018-01-02 00:45:00,-21.98333333333333,0.0,0.0,0.0
2018-01-02 01:00:00,-21.93333333333333,0.0,0.0,0.0
2018-01-02 01:15:00,-21.866666666666667,0.0,0.0,0.0
2018-01-02 01:30:00,-21.8,0.0,0.0,0.0
2018-01-02 01:45:00,-21.733333333333334,0.0,0.0,0.0
2018-01-02 02:00:00,-21.66666666666667,0.0,0.0,0.0
2018-01-02 02:15:00,-21.633333333333336,0.0,0.0,0.0
2018-01-02 02:30:00,-21.6,0.0,0.0,0.0
2018-01-02 02:45:00,-21.566666666666666,0.0,0.0,0.0
2018-01-02 03:00:00,-21.53333333333333,0.0,0.0,0.0
2018-01-02 03:15:00,-21.591666666666665,0.0,0.0,0.0
2018-01-02 03:30:00,-21.65,0.0,0.0,0.0
2018-01-02 03:45:00,-21.708333333333332,0.0,0.0,0.0
2018-01-02 04:00:00,-21.766666666666666,0.0,0.0,0.0
2018-01-02 04:15:00,-21.78333333333333,0.0,0.0,0.0
2018-01-02 04:30:00,-21.799999999999997,0.0,0.0,0.0
2018-01-02 04:45:00,-21.816666666666663,0.0,0.0,0.0
2018-01-02 05:00:00,-21.83333333333333,0.0,0.0,0.0
