datetime,air_temperature[C],global_horizontal_irradiance[W m-2],direct_normal_irradiance[W m-2],diffuse_horizontal_irradiance[W m-2]
2018-01-01 00:00:00,-6.4,0.0,0.0,0.0
2018-01-01 00:15:00,-6.4,0.0,0.0,0.0
2018-01-01 00:30:00,-6.4,0.0,0.0,0.0
2018-01-01 00:45:00,-6.4,0.0,0.0,0.0
2018-01-01 01:00:00,-6.4,0.0,0.0,0.0
2018-01-01 01:15:00,-6.4750000000000005,0.0,0.0,0.0
2018-01-01 01:30:00,-6.550000000000001,0.0,0.0,0.0
2018-01-01 01:45:00,-6.625,0.0,0.0,0.0
2018-01-01 02:00:00,-6.7,0.0,0.0,0.0
2018-01-01 02:15:00,-6.825,0.0,0.0,0.0
2018-01-01 02:30:00,-6.95,0.0,0.0,0.0
2018-01-01 02:45:00,-7.075,0.0,0.0,0.0
2018-01-01 03:00:00,-7.2,0.0,0.0,0.0
2018-01-01 03:15:00,-7.2,0.0,0.0,0.0
2018-01-01 03:30:00,-7.2,0.0,0.0,0.0
2018-01-01 03:45:00,-7.2,0.0,0.0,0.0
2018-01-01 04:00:00,-7.2,0.0,0.0,0.0
2018-01-01 04:15:00,-7.2,0.0,0.0,0.0
2018-01-01 04:30:00,-7.2,0.0,0.0,0.0
2018-01-01 04:45:00,-7.2,0.0,0.0,0.0
2018-01-01 05:00:00,-7.2,0.0,0.0,0.0
2018-01-01 05:15:00,-7.2,0.0,0.0,0.0
2018-01-01 05:30:00,-7.2,0.0,0.0,0.0
2018-01-01 05:45:00,-7.2,0.0,0.0,0.0
2018-01-01 06:00:00,-7.2,0.0,0.0,0.0
2018-01-01 06:15:00,-7.2,0.0,0.0,0.0
2018-01-01 06:30:00,-7.2,0.0,0.0,0.0
2018-01-01 06:45:00,-7.2,0.0,0.0,0.0
2018-01-01 07:00:00,-7.2,0.0,0.0,0.0
2018-01-01 07:15:00,-7.2,0.25,1.625,0.25
2018-01-01 07:30:00,-7.2,0.5,3.25,0.5
2018-01-01 07:45:00,-7.2,0.75,4.875,0.75
