datetime,air_temperature[C],global_horizontal_irradiance[W m-2],direct_normal_irradiance[W m-2],diffuse_horizontal_irradiance[W m-2]
2018-01-01 00:00:00,-11.05,0.0,0.0,0.0
2018-01-01 00:15:00,-11.05,0.0,0.0,0.0
2018-01-01 00:30:00,-11.05,0.0,0.0,0.0
2018-01-01 00:45:00,-11.05,0.0,0.0,0.0
2018-01-01 01:00:00,-11.05,0.0,0.0,0.0
2018-01-01 01:15:00,-11.3375,0.0,0.0,0.0
2018-01-01 01:30:00,-11.625,0.0,0.0,0.0
2018-01-01 01:45:00,-11.9125,0.0,0.0,0.0
2018-01-01 02:00:00,-12.2,0.0,0.0,0.0
2018-01-01 02:15:00,-12.475,0.0,0.0,0.0
2018-01-01 02:30:00,-12.75,0.0,0.0,0.0
2018-01-01 02:45:00,-13.025,0.0,0.0,0.0
2018-01-01 03:00:00,-13.3,0.0,0.0,0.0
2018-01-01 03:15:00,-13.450000000000001,0.0,0.0,0.0
2018-01-01 03:30:00,-13.600000000000001,0.0,0.0,0.0
2018-01-01 03:45:00,-13.75,0.0,0.0,0.0
2018-01-01 04:00:00,-13.9,0.0,0.0,0.0
2018-01-01 04:15:00,-14.025,0.0,0.0,0.0
2018-01-01 04:30:00,-14.15,0.0,0.0,0.0
2018-01-01 04:45:00,-14.275,0.0,0.0,0.0
2018-01-01 05:00:00,-14.4,0.0,0.0,0.0
2018-01-01 05:15:00,-14.4,0.0,0.0,0.0
2018-01-01 05:30:00,-14.4,0.0,0.0,0.0
2018-01-01 05:45:00,-14.4,0.0,0.0,0.0
2018-01-01 06:00:00,-14.4,0.0,0.0,0.0
2018-01-01 06:15:00,-14.35,0.0,0.0,0.0
2018-01-01 06:30:00,-14.3,0.0,0.0,0.0
2018-01-01 06:45:00,-14.25,0.0,0.0,0.0
2018-01-01 07:00:00,-14.2,0.0,0.0,0.0
2018-01-01 07:15:00,-13.9375,5.625,14.0,4.5
2018-01-01 07:30:00,-13.675,11.25,28.0,9.0
2018-01-01 07:45:00,-13.4125,16.875,42.0,13.5
2018-01-01 08:00:00,-13.15,22.5,56.0,18.0
2018-01-01 08:15:00,-12.9125,49.375,100.25,33.125
2018-01-01 08:30:00,-12.675,76.25,144.5,48.25
2018-01-01 08:45:00,-12.4375,103.125,188.75,63.375
2018-01-01 09:00:00,-12.2,130.0,233.0,78.5
2018-01-01 09:15:00,-11.5,168.5,287.875,88.875
2018-01-01 09:30:00,-10.8,207.0,342.75,99.25
2018-01-01 09:45:00,-10.1,245.5,397.625,109.625
2018-01-01 10:00:00,-9.4,284.0,452.5,120.0
2018-01-01 10:15:00,-8.45,336.75,568.375,106.875
2018-01-01 10:30:00,-7.5,389.5,684.25,93.75
2018-01-01 10:45:00,-6.55,442.25,800.125,80.625
2018-01-01 11:00:00,-5.6,495.0,916.0,67.5
2018-01-01 11:15:00,-5.449999999999999,515.125,928.625,67.375
2018-01-01 11:30:00,-5.3,535.25,941.25,67.25
2018-01-01 11:45:00,-5.15,555.375,953.875,67.125
2018-01-01 12:00:00,-5.0,575.5,966.5,67.0
2018-01-01 12:15:00,-4.575,578.5,968.25,66.75
2018-01-01 12:30:00,-4.15,581.5,970.0,66.5
2018-01-01 12:45:00,-3.7249999999999996,584.5,971.75,66.25
2018-01-01 13:00:00,-3.3,587.5,973.5,66.0
2018-01-01 13:15:00,-3.575,574.375,969.25,65.125
2018-01-01 13:30:00,-3.85,561.25,965.0,64.25
2018-01-01 13:45:00,-4.125,548.125,960.75,63.375
2018-01-01 14:00:00,-4.4,535.0,956.5,62.5
2018-01-01 14:15:00,-4.125,507.125,944.5,61.0
2018-01-01 14:30:00,-3.85,479.25,932.5,59.5
2018-01-01 14:45:00,-3.575,451.375,920.5,58.0
2018-01-01 15:00:00,-3.3,423.5,908.5,56.5
2018-01-01 15:15:00,-3.4499999999999997,377.5,837.375,58.0
2018-01-01 15:30:00,-3.5999999999999996,331.5,766.25,59.5
2018-01-01 15:45:00,-3.75,285.5,695.125,61.0
2018-01-01 16:00:00,-3.9,239.5,624.0,62.5
2018-01-01 16:15:00,-4.325,198.75,571.625,54.875
2018-01-01 16:30:00,-4.75,158.0,519.25,47.25
2018-01-01 16:45:00,-5.175,117.25,466.875,39.625
2018-01-01 17:00:00,-5.6,76.5,414.5,32.0
2018-01-01 17:15:00,-5.875,57.625,315.0,24.375
2018-01-01 17:30:00,-6.15,38.75,215.5,16.75
2018-01-01 17:45:00,-6.425,19.875,116.0,9.125
2018-01-01 18:00:00,-6.7,1.0,16.5,1.5
2018-01-01 18:15:00,-6.825,0.75,12.375,1.125
2018-01-01 18:30:00,-6.95,0.5,8.25,0.75
2018-01-01 18:45:00,-7.075,0.25,4.125,0.375
2018-01-01 19:00:00,-7.2,0.0,0.0,0.0
2018-01-01 19:15:00,-7.4750000000000005,0.0,0.0,0.0
2018-01-01 19:30:00,-7.75,0.0,0.0,0.0
2018-01-01 19:45:00,-8.025,0.0,0.0,0.0
2018-01-01 20:00:00,-8.3,0.0,0.0,0.0
2018-01-01 20:15:00,-8.450000000000001,0.0,0.0,0.0
2018-01-01 20:30:00,-8.600000000000001,0.0,0.0,0.0
2018-01-01 20:45:00,-8.75,0.0,0.0,0.0
2018-01-01 21:00:00,-8.9,0.0,0.0,0.0
2018-01-01 21:15:00,-9.025,0.0,0.0,0.0
2018-01-01 21:30:00,-9.15,0.0,0.0,0.0
2018-01-01 21:45:00,-9.275,0.0,0.0,0.0
2018-01-01 22:00:00,-9.4,0.0,0.0,0.0
2018-01-01 22:15:00,-10.1,0.0,0.0,0.0
2018-01-01 22:30:00,-10.8,0.0,0.0,0.0
2018-01-01 22:45:00,-11.5,0.0,0.0,0.0
2018-01-01 23:00:00,-12.2,0.0,0.0,0.0
2018-01-01 23:15:00,-12.35,0.0,0.0,0.0
2018-01-01 23:30:00,-12.5,0.0,0.0,0.0
2018-01-01 23:45:00,-12.65,0.0,0.0,0.0
2018-01-02 00:00:00,-12.8,0.0,0.0,0.0
2018-01-02 00:15:00,-12.8,0.0,0.0,0.0
2018-01-02 00:30:00,-12.8,0.0,0.0,0.0
2018-01-02 00:45:00,-12.8,0.0,0.0,0.0
2018-01-02 01:00:00,-12.8,0.0,0.0,0.0
2018-01-02 01:15:00,-13.075000000000001,0.0,0.0,0.0
2018-01-02 01:30:00,-13.350000000000001,0.0,0.0,0.0
2018-01-02 01:45:00,-13.625,0.0,0.0,0.0
2018-01-02 02:00:00,-13.9,0.0,0.0,0.0
2018-01-02 02:15:00,-14.025,0.0,0.0,0.0
2018-01-02 02:30:00,-14.15,0.0,0.0,0.0
2018-01-02 02:45:00,-14.275,0.0,0.0,0.0
2018-01-02 03:00:00,-14.4,0.0,0.0,0.0
2018-01-02 03:15:00,-14.7,0.0,0.0,0.0
2018-01-02 03:30:00,-15.0,0.0,0.0,0.0
2018-01-02 03:45:00,-15.3,0.0,0.0,0.0
2018-01-02 04:00:00,-15.6,0.0,0.0,0.0
2018-01-02 04:15:00,-15.875,0.0,0.0,0.0
2018-01-02 04:30:00,-16.15,0.0,0.0,0.0
2018-01-02 04:45:00,-16.425,0.0,0.0,0.0
2018-01-02 05:00:00,-16.7,0.0,0.0,0.0
2018-01-02 05:15:00,-16.7,0.0,0.0,0.0
2018-01-02 05:30:00,-16.7,0.0,0.0,0.0
2018-01-02 05:45:00,-16.7,0.0,0.0,0.0
2018-01-02 06:00:00,-16.7,0.0,0.0,0.0
2018-01-02 06:15:00,-16.825,0.0,0.0,0.0
2018-01-02 06:30:00,-16.95,0.0,0.0,0.0
2018-01-02 06:45:00,-17.075,0.0,0.0,0.0
2018-01-02 07:00:00,-17.2,0.0,0.0,0.0
2018-01-02 07:15:00,-16.1,6.0,19.875,4.375
2018-01-02 07:30:00,-15.0,12.0,39.75,8.75
2018-01-02 07:45:00,-13.9,18.0,59.625,13.125
2018-01-02 08:00:00,-12.8,24.0,79.5,17.5
2018-01-02 08:15:00,-11.55,64.75,214.25,25.125
2018-01-02 08:30:00,-10.3,105.5,349.0,32.75
2018-01-02 08:45:00,-9.05,146.25,483.75,40.375
2018-01-02 09:00:00,-7.8,187.0,618.5,48.0
2018-01-02 09:15:00,-7.375,233.5,686.625,49.0
2018-01-02 09:30:00,-6.949999999999999,280.0,754.75,50.0
2018-01-02 09:45:00,-6.5249999999999995,326.5,822.875,51.0
2018-01-02 10:00:00,-6.1,373.0,891.0,52.0
2018-01-02 10:15:00,-5.2749999999999995,407.0,909.0,54.0
2018-01-02 10:30:00,-4.449999999999999,441.0,927.0,56.0
2018-01-02 10:45:00,-3.625,475.0,945.0,58.0
2018-01-02 11:00:00,-2.8,509.0,963.0,60.0
2018-01-02 11:15:00,-2.25,528.5,971.125,60.5
2018-01-02 11:30:00,-1.7,548.0,979.25,61.0
2018-01-02 11:45:00,-1.15,567.5,987.375,61.5
2018-01-02 12:00:00,-0.6,587.0,995.5,62.0
2018-01-02 12:15:00,-0.17499999999999993,590.25,997.0,62.0
2018-01-02 12:30:00,0.2500000000000001,593.5,998.5,62.0
2018-01-02 12:45:00,0.6750000000000002,596.75,1000.0,62.0
2018-01-02 13:00:00,1.1,600.0,1001.5,62.0
2018-01-02 13:15:00,1.1,587.25,998.125,61.375
2018-01-02 13:30:00,1.1,574.5,994.75,60.75
2018-01-02 13:45:00,1.1,561.75,991.375,60.125
2018-01-02 14:00:00,1.1,549.0,988.0,59.5
2018-01-02 14:15:00,1.25,521.625,978.0,58.25
2018-01-02 14:30:00,1.4,494.25,968.0,57.0
2018-01-02 14:45:00,1.55,466.875,958.0,55.75
2018-01-02 15:00:00,1.7,439.5,948.0,54.5
2018-01-02 15:15:00,1.55,398.875,922.875,51.875
2018-01-02 15:30:00,1.4,358.25,897.75,49.25
2018-01-02 15:45:00,1.25,317.625,872.625,46.625
2018-01-02 16:00:00,1.1,277.0,847.5,44.0
2018-01-02 16:15:00,0.55,228.25,731.25,41.0
2018-01-02 16:30:00,0.0,179.5,615.0,38.0
2018-01-02 16:45:00,-0.55,130.75,498.75,35.0
2018-01-02 17:00:00,-1.1,82.0,382.5,32.0
2018-01-02 17:15:00,-1.4,61.625,290.0,24.25
2018-01-02 17:30:00,-1.7,41.25,197.5,16.5
2018-01-02 17:45:00,-2.0,20.875,105.0,8.75
2018-01-02 18:00:00,-2.3,0.5,12.5,1.0
2018-01-02 18:15:00,-3.4,0.375,9.375,0.75
2018-01-02 18:30:00,-4.5,0.25,6.25,0.5
2018-01-02 18:45:00,-5.6,0.125,3.125,0.25
2018-01-02 19:00:00,-6.7,0.0,0.0,0.0
2018-01-02 19:15:00,-6.975,0.0,0.0,0.0
2018-01-02 19:30:00,-7.25,0.0,0.0,0.0
2018-01-02 19:45:00,-7.525,0.0,0.0,0.0
2018-01-02 20:00:00,-7.8,0.0,0.0,0.0
2018-01-02 20:15:00,-8.075,0.0,0.0,0.0
2018-01-02 20:30:00,-8.35,0.0,0.0,0.0
2018-01-02 20:45:00,-8.625,0.0,0.0,0.0
2018-01-02 21:00:00,-8.9,0.0,0.0,0.0
2018-01-02 21:15:00,-8.9,0.0,0.0,0.0
2018-01-02 21:30:00,-8.9,0.0,0.0,0.0
2018-01-02 21:45:00,-8.9,0.0,0.0,0.0
2018-01-02 22:00:00,-8.9,0.0,0.0,0.0
2018-01-02 22:15:00,-8.9,0.0,0.0,0.0
2018-01-02 22:30:00,-8.9,0.0,0.0,0.0
2018-01-02 22:45:00,-8.9,0.0,0.0,0.0
2018-01-02 23:00:00,-8.9,0.0,0.0,0.0
2018-01-02 23:15:00,-8.9,0.0,0.0,0.0
2018-01-02 23:30:00,-8.9,0.0,0.0,0.0
2018-01-02 23:45:00,-8.9,0.0,0.0,0.0
2018-01-03 00:00:00,-8.9,0.0,0.0,0.0
2018-01-03 00:15:00,-8.75,0.0,0.0,0.0
2018-01-03 00:30:00,-8.600000000000001,0.0,0.0,0.0
2018-01-03 00:45:00,-8.450000000000001,0.0,0.0,0.0
2018-01-03 01:00:00,-8.3,0.0,0.0,0.0
2018-01-03 01:15:00,-7.9,0.0,0.0,0.0
2018-01-03 01:30:00,-7.5,0.0,0.0,0.0
2018-01-03 01:45:00,-7.1000000000000005,0.0,0.0,0.0
2018-01-03 02:00:00,-6.7,0.0,0.0,0.0
2018-01-03 02:15:00,-6.825,0.0,0.0,0.0
2018-01-03 02:30:00,-6.95,0.0,0.0,0.0
2018-01-03 02:45:00,-7.075,0.0,0.0,0.0
2018-01-03 03:00:00,-7.2,0.0,0.0,0.0
