datetime,power[W],heating_demand[W],total_power[W],cooling_demand[W]
2018-01-01 00:00:00,292.0,3162.0,1032.0,0.0
2018-01-01 00:15:00,292.0,3156.0,1032.0,0.0
2018-01-01 00:30:00,736.0,2880.0,1036.0,0.0
2018-01-01 00:45:00,736.0,2792.0,1872.0,0.0
2018-01-01 01:00:00,660.0,2840.0,1868.0,0.0
2018-01-01 01:15:00,660.0,2923.0,1668.0,0.0
2018-01-01 01:30:00,660.0,2923.0,1360.0,0.0
2018-01-01 01:45:00,660.0,2923.0,1364.0,0.0
2018-01-01 02:00:00,488.0,3073.0,1364.0,0.0
2018-01-01 02:15:00,488.0,3167.0,1228.0,0.0
2018-01-01 02:30:00,284.0,3362.0,1252.0,0.0
2018-01-01 02:45:00,284.0,3474.0,1088.0,0.0
2018-01-01 03:00:00,284.0,1760.0,1112.0,0.0
2018-01-01 03:15:00,284.0,1807.0,700.0,0.0
2018-01-01 03:30:00,284.0,1872.0,716.0,0.0
2018-01-01 03:45:00,284.0,1953.0,732.0,0.0
2018-01-01 04:00:00,284.0,2017.0,752.0,0.0
2018-01-01 04:15:00,284.0,2081.0,764.0,0.0
2018-01-01 04:30:00,284.0,2162.0,780.0,0.0
2018-01-01 04:45:00,284.0,2275.0,800.0,0.0
2018-01-01 05:00:00,280.0,2288.0,828.0,0.0
2018-01-01 05:15:00,280.0,2288.0,832.0,0.0
2018-01-01 05:30:00,280.0,2288.0,832.0,0.0
2018-01-01 05:45:00,280.0,2305.0,828.0,0.0
2018-01-01 06:00:00,280.0,2305.0,832.0,0.0
2018-01-01 06:15:00,280.0,2263.0,836.0,0.0
2018-01-01 06:30:00,280.0,2254.0,828.0,0.0
2018-01-01 06:45:00,280.0,2229.0,824.0,0.0
2018-01-01 07:00:00,280.0,2254.0,820.0,0.0
2018-01-01 07:15:00,280.0,2311.0,828.0,0.0
2018-01-01 07:30:00,280.0,2353.0,836.0,0.0
2018-01-01 07:45:00,280.0,2413.0,840.0,0.0
2018-01-01 08:00:00,404.0,2440.0,848.0,0.0
2018-01-01 08:15:00,404.0,2527.0,976.0,0.0
2018-01-01 08:30:00,404.0,2617.0,988.0,0.0
2018-01-01 08:45:00,404.0,2691.0,996.0,0.0
2018-01-01 09:00:00,552.0,2657.0,1008.0,0.0
2018-01-01 09:15:00,552.0,2649.0,1144.0,0.0
2018-01-01 09:30:00,280.0,2823.0,1136.0,0.0
2018-01-01 09:45:00,280.0,2834.0,900.0,0.0
2018-01-01 10:00:00,284.0,2918.0,900.0,0.0
2018-01-01 10:15:00,284.0,3024.0,920.0,0.0
2018-01-01 10:30:00,284.0,3133.0,936.0,0.0
2018-01-01 10:45:00,284.0,3263.0,952.0,0.0
2018-01-01 11:00:00,284.0,3068.0,968.0,0.0
2018-01-01 11:15:00,284.0,2886.0,924.0,0.0
2018-01-01 11:30:00,284.0,2665.0,880.0,0.0
2018-01-01 11:45:00,284.0,2421.0,832.0,0.0
2018-01-01 12:00:00,284.0,2078.0,1236.0,0.0
2018-01-01 12:15:00,284.0,1778.0,1172.0,0.0
2018-01-01 12:30:00,284.0,1552.0,876.0,0.0
2018-01-01 12:45:00,284.0,1403.0,596.0,0.0
2018-01-01 13:00:00,284.0,1353.0,568.0,0.0
2018-01-01 13:15:00,284.0,1267.0,552.0,0.0
2018-01-01 13:30:00,284.0,1182.0,536.0,0.0
2018-01-01 13:45:00,284.0,1097.0,520.0,0.0
2018-01-01 14:00:00,284.0,1053.0,504.0,0.0
2018-01-01 14:15:00,284.0,1006.0,496.0,0.0
2018-01-01 14:30:00,284.0,920.0,488.0,0.0
2018-01-01 14:45:00,284.0,816.0,472.0,0.0
2018-01-01 15:00:00,284.0,733.0,452.0,0.0
2018-01-01 15:15:00,284.0,672.0,440.0,0.0
2018-01-01 15:30:00,284.0,611.0,424.0,0.0
2018-01-01 15:45:00,284.0,570.0,412.0,0.0
2018-01-01 16:00:00,284.0,510.0,404.0,0.0
2018-01-01 16:15:00,284.0,485.0,396.0,0.0
2018-01-01 16:30:00,284.0,460.0,392.0,0.0
2018-01-01 16:45:00,284.0,436.0,388.0,0.0
2018-01-01 17:00:00,316.0,699.0,384.0,0.0
2018-01-01 17:15:00,316.0,717.0,468.0,0.0
2018-01-01 17:30:00,316.0,735.0,476.0,0.0
2018-01-01 17:45:00,316.0,752.0,480.0,0.0
2018-01-01 18:00:00,284.0,573.0,484.0,0.0
2018-01-01 18:15:00,284.0,609.0,412.0,0.0
2018-01-01 18:30:00,284.0,645.0,420.0,0.0
2018-01-01 18:45:00,284.0,681.0,428.0,0.0
2018-01-01 19:00:00,320.0,932.0,436.0,0.0
2018-01-01 19:15:00,320.0,957.0,976.0,0.0
2018-01-01 19:30:00,320.0,1000.0,996.0,0.0
