datetime,is_winter,power[W],measured_occupancy,log_power,occupancy_geoma,occupancy_pht,geoma,occupancy_night_rule_geoma,occupancy_night_rule_pht
2012-07-15 00:00:00,0.0,63.694,1,1.804,1,0,1.804,1,0
2012-07-15 00:15:00,0.0,83.671,1,1.923,1,0,1.81,1,0
2012-07-15 00:30:00,0.0,63.019,1,1.799,0,0,1.809,0,0
2012-07-15 00:45:00,0.0,71.192,1,1.852,1,0,1.812,1,0
2012-07-15 01:00:00,0.0,142.448,1,2.154,1,0,1.829,1,0
2012-07-15 01:15:00,0.0,103.965,1,2.017,1,1,1.838,1,1
2012-07-15 01:30:00,0.0,146.616,1,2.166,1,1,1.854,1,1
2012-07-15 01:45:00,0.0,99.956,1,2.0,1,1,1.862,1,1
2012-07-15 02:00:00,0.0,55.82,1,1.747,0,1,1.856,0,1
2012-07-15 02:15:00,0.0,78.396,1,1.894,1,1,1.858,1,1
2012-07-15 02:30:00,0.0,84.937,1,1.929,1,1,1.861,1,1
2012-07-15 02:45:00,0.0,52.894,1,1.723,0,0,1.855,0,0
2012-07-15 03:00:00,0.0,76.622,1,1.884,1,0,1.856,1,0
2012-07-15 03:15:00,0.0,93.734,1,1.972,1,0,1.862,1,0
2012-07-15 03:30:00,0.0,106.585,1,2.028,1,0,1.87,1,0
2012-07-15 03:45:00,0.0,127.028,1,2.104,1,1,1.882,1,1
2012-07-15 04:00:00,0.0,128.049,1,2.107,1,1,1.893,1,1
2012-07-15 04:15:00,0.0,53.1,1,1.725,0,1,1.885,0,1
2012-07-15 04:30:00,0.0,79.449,1,1.9,1,1,1.885,1,1
2012-07-15 04:45:00,0.0,79.54,1,1.901,1,1,1.886,1,1
2012-07-15 05:00:00,0.0,52.676,1,1.722,0,0,1.878,0,0
2012-07-15 05:15:00,0.0,80.524,1,1.906,1,0,1.879,1,0
2012-07-15 05:30:00,0.0,217.951,1,2.338,1,1,1.902,1,1
2012-07-15 05:45:00,0.0,141.763,1,2.152,1,1,1.915,1,1
2012-07-15 06:00:00,0.0,189.537,1,2.278,1,1,1.933,1,1
2012-07-15 06:15:00,0.0,334.676,1,2.525,1,1,1.963,1,1
2012-07-15 06:30:00,0.0,288.016,1,2.459,1,1,1.987,1,1
2012-07-15 06:45:00,0.0,160.221,1,2.205,1,1,1.998,1,1
2012-07-15 07:00:00,0.0,89.071,1,1.95,0,1,1.996,0,1
2012-07-15 07:15:00,0.0,72.838,1,1.862,0,1,1.989,0,1
2012-07-15 07:30:00,0.0,106.928,1,2.029,1,1,1.991,1,1
2012-07-15 07:45:00,0.0,127.369,1,2.105,1,1,1.997,1,1
2012-07-15 08:00:00,0.0,171.272,1,2.234,1,1,2.009,1,1
2012-07-15 08:15:00,0.0,207.337,1,2.317,1,1,2.024,1,1
2012-07-15 08:30:00,0.0,238.965,1,2.378,1,1,2.042,1,1
2012-07-15 08:45:00,0.0,217.732,1,2.338,1,1,2.057,1,1
2012-07-15 09:00:00,0.0,175.546,1,2.244,1,1,2.066,1,1
2012-07-15 09:15:00,0.0,137.781,1,2.139,1,1,2.07,1,1
2012-07-15 09:30:00,0.0,135.778,1,2.133,1,1,2.073,1,1
2012-07-15 09:45:00,0.0,113.044,1,2.053,0,1,2.072,0,1
2012-07-15 10:00:00,0.0,83.601,1,1.922,0,1,2.064,0,1
2012-07-15 10:15:00,0.0,339.596,1,2.531,1,1,2.088,1,1
2012-07-15 10:30:00,0.0,156.511,1,2.195,1,1,2.093,1,1
2012-07-15 10:45:00,0.0,129.345,1,2.112,1,1,2.094,1,1
2012-07-15 11:00:00,0.0,126.881,1,2.103,1,1,2.094,1,1
2012-07-15 11:15:00,0.0,119.54,1,2.078,0,1,2.094,0,1
2012-07-15 11:30:00,0.0,82.039,1,1.914,0,0,2.085,0,0
2012-07-15 11:45:00,0.0,81.308,1,1.91,0,0,2.076,0,0
2012-07-15 12:00:00,0.0,95.476,1,1.98,0,0,2.071,0,0
2012-07-15 12:15:00,0.0,60.788,0,1.784,0,0,2.057,0,0
2012-07-15 12:30:00,0.0,66.702,0,1.824,0,0,2.045,0,0
2012-07-15 12:45:00,0.0,100.61,0,2.003,0,0,2.043,0,0
2012-07-15 13:00:00,0.0,108.731,0,2.036,0,0,2.043,0,0
2012-07-15 13:15:00,0.0,119.828,0,2.079,1,0,2.044,1,0
2012-07-15 13:30:00,0.0,129.46,0,2.112,1,0,2.048,1,0
2012-07-15 13:45:00,0.0,60.508,0,1.782,0,0,2.035,0,0
2012-07-15 14:00:00,0.0,72.243,0,1.859,0,0,2.026,0,0
2012-07-15 14:15:00,0.0,84.268,0,1.926,0,0,2.021,0,0
2012-07-15 14:30:00,0.0,52.118,0,1.717,0,0,2.006,0,0
2012-07-15 14:45:00,0.0,77.034,0,1.887,0,0,2.0,0,0
2012-07-15 15:00:00,0.0,79.552,0,1.901,0,0,1.995,0,0
2012-07-15 15:15:00,0.0,74.974,0,1.875,0,0,1.989,0,0
2012-07-15 15:30:00,0.0,132.966,0,2.124,1,0,1.996,1,0
2012-07-15 15:45:00,0.0,126.092,0,2.101,1,0,2.001,1,0
2012-07-15 16:00:00,0.0,98.458,0,1.993,0,0,2.0,0,0
2012-07-15 16:15:00,0.0,81.803,0,1.913,0,0,1.996,0,0
2012-07-15 16:30:00,0.0,74.921,0,1.875,0,0,1.99,0,0
2012-07-15 16:45:00,0.0,51.959,0,1.716,0,0,1.976,0,0
2012-07-15 17:00:00,0.0,86.123,0,1.935,0,0,1.974,0,0
2012-07-15 17:15:00,0.0,77.032,1,1.887,0,0,1.97,0,0
2012-07-15 17:30:00,0.0,134.591,1,2.129,1,0,1.978,1,0
2012-07-15 17:45:00,0.0,578.997,1,2.763,1,1,2.017,1,1
2012-07-15 18:00:00,0.0,587.855,1,2.769,1,1,2.055,1,1
2012-07-15 18:15:00,0.0,110.452,1,2.043,0,1,2.054,0,1
2012-07-15 18:30:00,0.0,129.428,1,2.112,1,1,2.057,1,1
2012-07-15 18:45:00,0.0,176.156,1,2.246,1,1,2.066,1,1
2012-07-15 19:00:00,0.0,64.999,1,1.813,0,1,2.054,0,1
2012-07-15 19:15:00,0.0,139.561,1,2.145,1,1,2.058,1,1
2012-07-15 19:30:00,0.0,90.935,1,1.959,0,0,2.053,0,0
2012-07-15 19:45:00,0.0,75.182,1,1.876,0,0,2.044,0,0
2012-07-15 20:00:00,0.0,160.303,1,2.205,1,0,2.053,1,0
2012-07-15 20:15:00,0.0,250.63,1,2.399,1,1,2.07,1,1
2012-07-15 20:30:00,0.0,253.695,1,2.404,1,1,2.087,1,1
2012-07-15 20:45:00,0.0,328.868,1,2.517,1,1,2.108,1,1
2012-07-15 21:00:00,0.0,308.677,1,2.49,1,1,2.127,1,1
2012-07-15 21:15:00,0.0,292.104,1,2.466,1,1,2.144,1,1
2012-07-15 21:30:00,0.0,273.793,1,2.437,1,1,2.159,1,1
2012-07-15 21:45:00,0.0,243.845,1,2.387,1,1,2.17,1,1
2012-07-15 22:00:00,0.0,268.004,1,2.428,1,1,2.183,1,1
2012-07-15 22:15:00,0.0,279.939,1,2.447,1,1,2.196,1,1
2012-07-15 22:30:00,0.0,220.993,1,2.344,1,1,2.204,1,1
2012-07-15 22:45:00,0.0,215.764,1,2.334,1,1,2.21,1,1
2012-07-15 23:00:00,0.0,175.387,1,2.244,1,1,2.212,1,1
2012-07-15 23:15:00,0.0,124.598,1,2.096,0,1,2.206,1,1
2012-07-15 23:30:00,0.0,92.373,1,1.966,0,0,2.194,1,1
2012-07-15 23:45:00,0.0,84.803,1,1.928,0,0,2.181,1,1
2012-07-16 00:00:00,0.0,57.214,1,1.758,0,0,2.16,1,1
2012-07-16 00:15:00,0.0,84.017,1,1.924,0,0,2.148,1,1
2012-07-16 00:30:00,0.0,82.09,1,1.914,0,0,2.136,1,1
2012-07-16 00:45:00,0.0,62.06,1,1.793,0,0,2.119,1,1
2012-07-16 01:00:00,0.0,117.441,1,2.07,0,0,2.117,1,1
2012-07-16 01:15:00,0.0,131.228,1,2.118,1,0,2.117,1,1
2012-07-16 01:30:00,0.0,104.874,1,2.021,0,0,2.112,1,1
2012-07-16 01:45:00,0.0,157.553,1,2.197,1,0,2.116,1,1
