datetime,air_temperature[C],global_horizontal_irradiance[W m-2],direct_normal_irradiance[W m-2],diffuse_horizontal_irradiance[W m-2]
2018-01-01 00:00:00,-4.4,0.0,0.0,0.0
2018-01-01 00:15:00,-4.4,0.0,0.0,0.0
2018-01-01 00:30:00,-4.4,0.0,0.0,0.0
2018-01-01 00:45:00,-4.4,0.0,0.0,0.0
2018-01-01 01:00:00,-4.4,0.0,0.0,0.0
2018-01-01 01:15:00,-4.550000000000001,0.0,0.0,0.0
2018-01-01 01:30:00,-4.7,0.0,0.0,0.0
2018-01-01 01:45:00,-4.85,0.0,0.0,0.0
2018-01-01 02:00:00,-5.0,0.0,0.0,0.0
2018-01-01 02:15:00,-5.15,0.0,0.0,0.0
2018-01-01 02:30:00,-5.3,0.0,0.0,0.0
2018-01-01 02:45:00,-5.449999999999999,0.0,0.0,0.0
2018-01-01 03:00:00,-5.6,0.0,0.0,0.0
2018-01-01 03:15:00,-5.725,0.0,0.0,0.0
2018-01-01 03:30:00,-5.85,0.0,0.0,0.0
2018-01-01 03:45:00,-5.975,0.0,0.0,0.0
2018-01-01 04:00:00,-6.1,0.0,0.0,0.0
2018-01-01 04:15:00,-6.1,0.0,0.0,0.0
2018-01-01 04:30:00,-6.1,0.0,0.0,0.0
2018-01-01 04:45:00,-6.1,0.0,0.0,0.0
2018-01-01 05:00:00,-6.1,0.0,0.0,0.0
2018-01-01 05:15:00,-6.25,0.0,0.0,0.0
2018-01-01 05:30:00,-6.4,0.0,0.0,0.0
2018-01-01 05:45:00,-6.55,0.0,0.0,0.0
2018-01-01 06:00:00,-6.7,0.0,0.0,0.0
2018-01-01 06:15:00,-6.7,0.0,0.0,0.0
2018-01-01 06:30:00,-6.7,0.0,0.0,0.0
2018-01-01 06:45:00,-6.7,0.0,0.0,0.0
2018-01-01 07:00:00,-6.7,0.0,0.0,0.0
2018-01-01 07:15:00,-6.55,7.25,27.375,5.125
2018-01-01 07:30:00,-6.4,14.5,54.75,10.25
2018-01-01 07:45:00,-6.25,21.75,82.125,15.375
2018-01-01 08:00:00,-6.1,29.0,109.5,20.5
2018-01-01 08:15:00,-5.975,61.25,171.0,33.75
2018-01-01 08:30:00,-5.85,93.5,232.5,47.0
2018-01-01 08:45:00,-5.725,125.75,294.0,60.25
2018-01-01 09:00:00,-5.6,158.0,355.5,73.5
2018-01-01 09:15:00,-5.175,202.5,419.25,79.875
2018-01-01 09:30:00,-4.75,247.0,483.0,86.25
2018-01-01 09:45:00,-4.324999999999999,291.5,546.75,92.625
2018-01-01 10:00:00,-3.9,336.0,610.5,99.0
2018-01-01 10:15:00,-3.9,344.75,546.375,123.0
2018-01-01 10:30:00,-3.9,353.5,482.25,147.0
2018-01-01 10:45:00,-3.9,362.25,418.125,171.0
2018-01-01 11:00:00,-3.9,371.0,354.0,195.0
2018-01-01 11:15:00,-3.625,396.0,383.75,197.125
2018-01-01 11:30:00,-3.3499999999999996,421.0,413.5,199.25
2018-01-01 11:45:00,-3.0749999999999997,446.0,443.25,201.375
2018-01-01 12:00:00,-2.8,471.0,473.0,203.5
