datetime,air_temperature[C],global_horizontal_irradiance[W m-2],direct_normal_irradiance[W m-2],diffuse_horizontal_irradiance[W m-2]
2018-01-01 00:00:00+00:00,2.8,0.0,0.0,0.0
2018-01-01 00:15:00+00:00,2.8,0.0,0.0,0.0
2018-01-01 00:30:00+00:00,2.8,0.0,0.0,0.0
2018-01-01 00:45:00+00:00,2.8,0.0,0.0,0.0
2018-01-01 01:00:00+00:00,2.8,0.0,0.0,0.0
2018-01-01 01:15:00+00:00,2.525,0.0,0.0,0.0
2018-01-01 01:30:00+00:00,2.25,0.0,0.0,0.0
2018-01-01 01:45:00+00:00,1.9749999999999999,0.0,0.0,0.0
2018-01-01 02:00:00+00:00,1.7,0.0,0.0,0.0
2018-01-01 02:15:00+00:00,1.7,0.0,0.0,0.0
2018-01-01 02:30:00+00:00,1.7,0.0,0.0,0.0
2018-01-01 02:45:00+00:00,1.7,0.0,0.0,0.0
2018-01-01 03:00:00+00:00,1.7,0.0,0.0,0.0
2018-01-01 03:15:00+00:00,1.825,0.0,0.0,0.0
2018-01-01 03:30:00+00:00,1.9500000000000002,0.0,0.0,0.0
2018-01-01 03:45:00+00:00,2.075,0.0,0.0,0.0
2018-01-01 04:00:00+00:00,2.2,0.0,0.0,0.0
2018-01-01 04:15:00+00:00,2.1375,0.0,0.0,0.0
2018-01-01 04:30:00+00:00,2.075,0.0,0.0,0.0
2018-01-01 04:45:00+00:00,2.0125,0.0,0.0,0.0
2018-01-01 05:00:00+00:00,1.95,0.0,0.0,0.0
2018-01-01 05:15:00+00:00,1.8875,0.0,0.0,0.0
2018-01-01 05:30:00+00:00,1.825,0.0,0.0,0.0
2018-01-01 05:45:00+00:00,1.7625,0.0,0.0,0.0
2018-01-01 06:00:00+00:00,1.7,0.0,0.0,0.0
2018-01-01 06:15:00+00:00,1.7,0.0,0.0,0.0
2018-01-01 06:30:00+00:00,1.7,0.0,0.0,0.0
2018-01-01 06:45:00+00:00,1.7,0.0,0.0,0.0
2018-01-01 07:00:00+00:00,1.7,0.0,0.0,0.0
2018-01-01 07:15:00+00:00,1.55,0.0,0.0,0.0
2018-01-01 07:30:00+00:00,1.4,0.0,0.0,0.0
2018-01-01 07:45:00+00:00,1.25,0.0,0.0,0.0
2018-01-01 08:00:00+00:00,1.1,0.0,0.0,0.0
2018-01-01 08:15:00+00:00,1.525,5.75,44.75,2.75
2018-01-01 08:30:00+00:00,1.95,11.5,89.5,5.5
2018-01-01 08:45:00+00:00,2.375,17.25,134.25,8.25
2018-01-01 09:00:00+00:00,2.8,23.0,179.0,11.0
2018-01-01 09:15:00+00:00,3.3499999999999996,46.625,247.625,19.75
2018-01-01 09:30:00+00:00,3.9,70.25,316.25,28.5
2018-01-01 09:45:00+00:00,4.45,93.875,384.875,37.25
2018-01-01 10:00:00+00:00,5.0,117.5,453.5,46.0
2018-01-01 10:15:00+00:00,5.1375,142.0,475.875,51.25
2018-01-01 10:30:00+00:00,5.275,166.5,498.25,56.5
2018-01-01 10:45:00+00:00,5.4125,191.0,520.625,61.75
2018-01-01 11:00:00+00:00,5.55,215.5,543.0,67.0
2018-01-01 11:15:00+00:00,5.9625,224.625,520.0,76.0
2018-01-01 11:30:00+00:00,6.375,233.75,497.0,85.0
2018-01-01 11:45:00+00:00,6.7875,242.875,474.0,94.0
2018-01-01 12:00:00+00:00,7.2,252.0,451.0,103.0
2018-01-01 12:15:00+00:00,7.35,275.75,541.625,91.625
2018-01-01 12:30:00+00:00,7.5,299.5,632.25,80.25
2018-01-01 12:45:00+00:00,7.65,323.25,722.875,68.875
2018-01-01 13:00:00+00:00,7.8,347.0,813.5,57.5
2018-01-01 13:15:00+00:00,8.075,341.625,810.25,57.0
2018-01-01 13:30:00+00:00,8.35,336.25,807.0,56.5
2018-01-01 13:45:00+00:00,8.625,330.875,803.75,56.0
2018-01-01 14:00:00+00:00,8.9,325.5,800.5,55.5
2018-01-01 14:15:00+00:00,8.75,302.5,750.375,57.75
2018-01-01 14:30:00+00:00,8.600000000000001,279.5,700.25,60.0
2018-01-01 14:45:00+00:00,8.450000000000001,256.5,650.125,62.25
2018-01-01 15:00:00+00:00,8.3,233.5,600.0,64.5
2018-01-01 15:15:00+00:00,8.025,205.125,540.375,62.0
2018-01-01 15:30:00+00:00,7.75,176.75,480.75,59.5
2018-01-01 15:45:00+00:00,7.4750000000000005,148.375,421.125,57.0
2018-01-01 16:00:00+00:00,7.2,120.0,361.5,54.5
2018-01-01 16:15:00+00:00,7.0,97.75,320.625,45.875
