datetime,air_temperature[C],global_horizontal_irradiance[W m-2],direct_normal_irradiance[W m-2],diffuse_horizontal_irradiance[W m-2]
2018-01-01 00:00:00,-26.1,0.0,0.0,0.0
2018-01-01 00:15:00,-26.1,0.0,0.0,0.0
2018-01-01 00:30:00,-26.1,0.0,0.0,0.0
2018-01-01 00:45:00,-26.1,0.0,0.0,0.0
2018-01-01 01:00:00,-26.1,0.0,0.0,0.0
2018-01-01 01:15:00,-26.375,0.0,0.0,0.0
2018-01-01 01:30:00,-26.65,0.0,0.0,0.0
2018-01-01 01:45:00,-26.925,0.0,0.0,0.0
2018-01-01 02:00:00,-27.2,0.0,0.0,0.0
2018-01-01 02:15:00,-27.075,0.0,0.0,0.0
2018-01-01 02:30:00,-26.95,0.0,0.0,0.0
2018-01-01 02:45:00,-26.825,0.0,0.0,0.0
2018-01-01 03:00:00,-26.7,0.0,0.0,0.0
2018-01-01 03:15:00,-26.7625,0.0,0.0,0.0
2018-01-01 03:30:00,-26.825,0.0,0.0,0.0
2018-01-01 03:45:00,-26.8875,0.0,0.0,0.0
2018-01-01 04:00:00,-26.95,0.0,0.0,0.0
2018-01-01 04:15:00,-27.1625,0.0,0.0,0.0
2018-01-01 04:30:00,-27.375,0.0,0.0,0.0
2018-01-01 04:45:00,-27.5875,0.0,0.0,0.0
2018-01-01 05:00:00,-27.8,0.0,0.0,0.0
2018-01-01 05:15:00,-27.8,0.0,0.0,0.0
2018-01-01 05:30:00,-27.8,0.0,0.0,0.0
2018-01-01 05:45:00,-27.8,0.0,0.0,0.0
2018-01-01 06:00:00,-27.8,0.0,0.0,0.0
2018-01-01 06:15:00,-27.725,0.0,0.0,0.0
2018-01-01 06:30:00,-27.65,0.0,0.0,0.0
2018-01-01 06:45:00,-27.575,0.0,0.0,0.0
2018-01-01 07:00:00,-27.5,0.0,0.0,0.0
2018-01-01 07:15:00,-27.425,0.0,0.0,0.0
2018-01-01 07:30:00,-27.35,0.0,0.0,0.0
2018-01-01 07:45:00,-27.275,0.0,0.0,0.0
2018-01-01 08:00:00,-27.2,0.0,0.0,0.0
2018-01-01 08:15:00,-27.075,1.625,8.25,1.375
2018-01-01 08:30:00,-26.95,3.25,16.5,2.75
2018-01-01 08:45:00,-26.825,4.875,24.75,4.125
2018-01-01 09:00:00,-26.7,6.5,33.0,5.5
2018-01-01 09:15:00,-26.5625,20.625,71.125,13.5
2018-01-01 09:30:00,-26.424999999999997,34.75,109.25,21.5
2018-01-01 09:45:00,-26.287499999999998,48.875,147.375,29.5
2018-01-01 10:00:00,-26.15,63.0,185.5,37.5
2018-01-01 10:15:00,-25.5875,96.125,287.375,41.125
2018-01-01 10:30:00,-25.025,129.25,389.25,44.75
2018-01-01 10:45:00,-24.4625,162.375,491.125,48.375
2018-01-01 11:00:00,-23.9,195.5,593.0,52.0
2018-01-01 11:15:00,-23.625,227.75,665.875,51.75
2018-01-01 11:30:00,-23.35,260.0,738.75,51.5
