id,year,area[m2],g_value[1],orientation[degree],tilt[degree],shading[1]
24083,1918,9.71048122416,0.75,0.0,90.0,0.75
24083,1918,9.71048122416,0.75,90.0,90.0,0.75
24083,1918,9.71048122416,0.75,180.0,90.0,0.75
24083,1918,9.71048122416,0.75,270.0,90.0,0.75
24083,1919,10.700084406239998,0.75,0.0,90.0,0.75
24083,1919,10.700084406239998,0.75,90.0,90.0,0.75
24083,1919,10.700084406239998,0.75,180.0,90.0,0.75
24083,1919,10.700084406239998,0.75,270.0,90.0,0.75
24083,1949,10.26713301408,0.75,0.0,90.0,0.75
24083,1949,10.26713301408,0.75,90.0,90.0,0.75
24083,1949,10.26713301408,0.75,180.0,90.0,0.75
24083,1949,10.26713301408,0.75,270.0,90.0,0.75
24083,1958,13.85444454912,0.75,0.0,90.0,0.75
24083,1958,13.85444454912,0.75,90.0,90.0,0.75
24083,1958,13.85444454912,0.75,180.0,90.0,0.75
24083,1958,13.85444454912,0.75,270.0,90.0,0.75
24083,1969,12.227784318576,0.75,0.0,90.0,0.75
24083,1969,12.227784318576,0.75,90.0,90.0,0.75
24083,1969,12.227784318576,0.75,180.0,90.0,0.75
24083,1969,12.227784318576,0.75,270.0,90.0,0.75
24083,1979,7.73127486,0.75,0.0,90.0,0.75
24083,1979,7.73127486,0.75,90.0,90.0,0.75
24083,1979,7.73127486,0.75,180.0,90.0,0.75
24083,1979,7.73127486,0.75,270.0,90.0,0.75
24083,1984,12.24633937824,0.75,0.0,90.0,0.75
24083,1984,12.24633937824,0.75,90.0,90.0,0.75
24083,1984,12.24633937824,0.75,180.0,90.0,0.75
24083,1984,12.24633937824,0.75,270.0,90.0,0.75
24083,1995,16.45215290208,0.6,0.0,90.0,0.6
24083,1995,16.45215290208,0.6,90.0,90.0,0.6
24083,1995,16.45215290208,0.6,180.0,90.0,0.6
24083,1995,16.45215290208,0.6,270.0,90.0,0.6
24083,2002,11.9061632844,0.6,0.0,90.0,0.6
24083,2002,11.9061632844,0.6,90.0,90.0,0.6
24083,2002,11.9061632844,0.6,180.0,90.0,0.6
24083,2002,11.9061632844,0.6,270.0,90.0,0.6
24083,2009,11.9061632844,0.6,0.0,90.0,0.6
24083,2009,11.9061632844,0.6,90.0,90.0,0.6
24083,2009,11.9061632844,0.6,180.0,90.0,0.6
24083,2009,11.9061632844,0.6,270.0,90.0,0.6
117861,1918,7.934662840320001,0.75,0.0,90.0,0.75
117861,1918,7.934662840320001,0.75,90.0,90.0,0.75
117861,1918,7.934662840320001,0.75,180.0,90.0,0.75
117861,1918,7.934662840320001,0.75,270.0,90.0,0.75
117861,1919,8.74329090048,0.75,0.0,90.0,0.75
117861,1919,8.74329090048,0.75,90.0,90.0,0.75
117861,1919,8.74329090048,0.75,180.0,90.0,0.75
117861,1919,8.74329090048,0.75,270.0,90.0,0.75
117861,1949,8.38951612416,0.75,0.0,90.0,0.75
117861,1949,8.38951612416,0.75,90.0,90.0,0.75
117861,1949,8.38951612416,0.75,180.0,90.0,0.75
