id,year,electricity,electricity:filename,occupancy,inhabitants,weather,area[m2],height[m],latitude[degree],longitude[degree],min_temperature[C],max_temperature[C],stories
68993_1918,1918,file,68993_demand_1_occupants,geoma,1,marine,113.3417088,2.5,46.16,-123.88,15.56,19.44,1.0
68993_1919,1919,file,68993_demand_1_occupants,geoma,1,marine,113.3417088,2.5,46.16,-123.88,15.56,19.44,1.0
68993_1949,1949,file,68993_demand_1_occupants,geoma,1,marine,113.3417088,2.5,46.16,-123.88,15.56,19.44,1.0
68993_1958,1958,file,68993_demand_1_occupants,geoma,1,marine,113.3417088,2.5,46.16,-123.88,15.56,19.44,1.0
68993_1969,1969,file,68993_demand_1_occupants,geoma,1,marine,113.3417088,2.5,46.16,-123.88,15.56,19.44,1.0
68993_1979,1979,file,68993_demand_1_occupants,geoma,1,marine,113.3417088,2.5,46.16,-123.88,15.56,19.44,1.0
68993_1984,1984,file,68993_demand_1_occupants,geoma,1,marine,113.3417088,2.5,46.16,-123.88,15.56,19.44,1.0
68993_1995,1995,file,68993_demand_1_occupants,geoma,1,marine,113.3417088,2.5,46.16,-123.88,15.56,19.44,1.0
68993_2002,2002,file,68993_demand_1_occupants,geoma,1,marine,113.3417088,2.5,46.16,-123.88,15.56,19.44,1.0
68993_2009,2009,file,68993_demand_1_occupants,geoma,1,marine,113.3417088,2.5,46.16,-123.88,15.56,19.44,1.0
71009_1918,1918,file,71009_demand_6_occupants,geoma,6,marine,157.00613760000002,2.5,46.16,-123.88,19.44,22.22,1.0
71009_1919,1919,file,71009_demand_6_occupants,geoma,6,marine,157.00613760000002,2.5,46.16,-123.88,19.44,22.22,1.0
71009_1949,1949,file,71009_demand_6_occupants,geoma,6,marine,157.00613760000002,2.5,46.16,-123.88,19.44,22.22,1.0
71009_1958,1958,file,71009_demand_6_occupants,geoma,6,marine,157.00613760000002,2.5,46.16,-123.88,19.44,22.22,1.0
71009_1969,1969,file,71009_demand_6_occupants,geoma,6,marine,157.00613760000002,2.5,46.16,-123.88,19.44,22.22,1.0
71009_1979,1979,file,71009_demand_6_occupants,geoma,6,marine,157.00613760000002,2.5,46.16,-123.88,19.44,22.22,1.0
71009_1984,1984,file,71009_demand_6_occupants,geoma,6,marine,157.00613760000002,2.5,46.16,-123.88,19.44,22.22,1.0
71009_1995,1995,file,71009_demand_6_occupants,geoma,6,marine,157.00613760000002,2.5,46.16,-123.88,19.44,22.22,1.0
71009_2002,2002,file,71009_demand_6_occupants,geoma,6,marine,157.00613760000002,2.5,46.16,-123.88,19.44,22.22,1.0
71009_2009,2009,file,71009_demand_6_occupants,geoma,6,marine,157.00613760000002,2.5,46.16,-123.88,19.44,22.22,1.0
