id,year,climate_zone,state,inhabitants,resistance[K W-1],capacitance[J K-1],area[m2],stories,method,filename,heating_demand_simulated[kWh],heating_demand_real[kWh],cooling_demand_simulated[kWh],cooling_demand_real[kWh],heating_demand_simulated[kWh]/area[m2],heating_demand_real[kWh]/area[m2],cooling_demand_simulated[kWh]/area[m2],cooling_demand_real[kWh]/area[m2],heating_demand_error,cooling_demand_error,heating_demand_rel_error,cooling_demand_rel_error,fit_score
10939,1918,cold,WI,2,0.0010330250762927,151124985.171451,157.00613760000002,1,geoma,G5500950_cold.csv,68370.0,35048.1,4450.3,349.1,435.5,223.2,28.3,2.2,33321.9,4101.2,0.95,11.75,6.35
130744,1918,marine,OR,4,0.0008023034829663,194584596.29176173,202.15701504,1,geoma,G4100070_marine.csv,28975.1,14027.2,6864.8,199.2,143.3,69.4,34.0,1.0,14947.9,6665.6,1.07,33.46,17.265
140101,1918,hot dry,TX,3,0.0014309937532251,109096143.1415208,113.3417088,1,geoma,G4802650_hot_dry.csv,1916.2,294.7,9443.0,1781.9,16.9,2.6,83.3,15.7,1621.5,7661.1,5.5,4.3,4.9
141086,2009,hot dry,TX,1,0.0018166984695585,359897264.29509693,306.67293504,2,geoma,G4802650_hot_dry.csv,909.4,10098.6,46194.4,2238.7,3.0,32.9,150.6,7.3,9189.2,43955.7,0.91,19.63,10.27
153117,2002,mixed dry,NM,4,0.0007318674210413,893365096.5265144,761.2475097600001,2,geoma,G3500090_mixed_dry.csv,28135.5,18757.1,103350.9,2582.0,37.0,24.6,135.8,3.4,9378.4,100768.9,0.5,39.03,19.765
178508,2009,very cold,MN,2,0.0054355624978537,110752765.00692044,157.00613760000002,1,geoma,G2700270_very_cold.csv,9942.1,17286.7,17634.1,725.3,63.3,110.1,112.3,4.6,7344.6,16908.8,0.42,23.31,11.865
178956,1918,very cold,MN,1,0.0010330250762927,151124985.171451,157.00613760000002,1,geoma,G2700270_very_cold.csv,62658.7,36854.1,3289.1,528.9,399.1,234.7,20.9,3.4,25804.6,2760.2,0.7,5.22,2.96
179265,1918,mixed dry,NM,2,0.0008023034829663,194584596.29176173,202.15701504,1,geoma,G3500090_mixed_dry.csv,27461.1,12322.5,11590.5,2142.7,135.8,61.0,57.3,10.6,15138.6,9447.8,1.23,4.41,2.8200000000000003
183413,1918,hot dry,TX,3,0.0019726693547284,79139415.31167698,82.2191904,1,geoma,G4802650_hot_dry.csv,3459.8,594.5,6371.3,1363.0,42.1,7.2,77.5,16.6,2865.3,5008.3,4.82,3.67,4.245
204337,1949,hot dry,TX,2,0.0009861037263575,122943309.7410052,113.3417088,2,geoma,G4802650_hot_dry.csv,2936.3,615.2,9810.6,1914.7,25.9,5.4,86.6,16.9,2321.1,7895.9,3.77,4.12,3.9450000000000003
206034,2009,hot dry,TX,4,0.0035484743479365,184255188.3243605,157.00613760000002,2,geoma,G4802650_hot_dry.csv,304.5,1196.5,27640.1,2390.4,1.9,7.6,176.0,15.2,892.0,25249.7,0.75,10.56,5.655
210631,1918,hot dry,TX,3,0.0014309937532251,109096143.1415208,113.3417088,1,geoma,G4802650_hot_dry.csv,6651.5,2167.5,12279.5,1949.9,58.7,19.1,108.3,17.2,4484.0,10329.6,2.07,5.3,3.6849999999999996
212698,1949,hot dry,TX,2,0.0003644491203138,332652348.7336542,306.67293504,2,geoma,G4802650_hot_dry.csv,12441.5,2838.8,19955.3,2976.1,40.6,9.3,65.1,9.7,9602.7,16979.2,3.38,5.71,4.545
223249,2009,very cold,MN,2,0.0075295906732563,79951700.18251061,113.3417088,1,geoma,G2700270_very_cold.csv,7454.4,12069.6,12178.2,604.8,65.8,106.5,107.4,5.3,4615.2,11573.4,0.38,19.14,9.76
22472,1918,hot dry,TX,1,0.0014309937532251,109096143.1415208,113.3417088,1,geoma,G4802650_hot_dry.csv,3276.3,870.8,10819.8,2178.2,28.9,7.7,95.5,19.2,2405.5,8641.6,2.76,3.97,3.365
229684,1918,very cold,MN,4,0.0006555810660663,238133630.48022124,247.40079552,1,geoma,G2700270_very_cold.csv,140237.1,90261.4,6751.6,867.9,566.8,364.8,27.3,3.5,49975.7,5883.7,0.55,6.78,3.665
24083,2002,very cold,MN,3,0.0022519420383074,290338205.0341845,247.40079552,2,geoma,G2700270_very_cold.csv,38604.1,23404.5,23521.6,584.0,156.0,94.6,95.1,2.4,15199.6,22937.6,0.65,39.28,19.965
263573,2002,mixed dry,NM,1,0.0054355624978537,110752765.00692044,157.00613760000002,1,geoma,G3500090_mixed_dry.csv,1178.8,6697.9,23670.8,615.6,7.5,42.7,150.8,3.9,5519.1,23055.2,0.82,37.45,19.135
275239,1918,mixed dry,NM,3,0.0014309937532251,109096143.1415208,113.3417088,1,geoma,G3500090_mixed_dry.csv,16167.3,15213.1,7208.8,934.1,142.6,134.2,63.6,8.2,954.2,6274.7,0.06,6.72,3.3899999999999997
275339,2009,hot dry,TX,4,0.0022519420383074,290338205.0341845,247.40079552,2,geoma,G4802650_hot_dry.csv,2362.9,3004.8,48756.1,4612.5,9.6,12.1,197.1,18.6,641.9,44143.6,0.21,9.57,4.890000000000001
288215,1918,marine,OR,1,0.0014309937532251,109096143.1415208,113.3417088,1,geoma,G4100070_marine.csv,12304.2,4972.7,2187.4,301.4,108.6,43.9,19.3,2.7,7331.5,1886.0,1.47,6.26,3.8649999999999998
302452,2002,marine,OR,2,0.0024700878363534,268788785.50693774,202.15701504,3,geoma,G4100070_marine.csv,8762.8,5528.4,10253.7,165.2,43.3,27.3,50.7,0.8,3234.4,10088.5,0.59,61.07,30.830000000000002
306536,1918,hot dry,TX,1,0.0008023034829663,194584596.29176173,202.15701504,1,geoma,G4802650_hot_dry.csv,9986.1,2930.2,9920.3,1643.8,49.4,14.5,49.1,8.1,7055.9,8276.5,2.41,5.03,3.72
312829,2009,hot dry,TX,2,0.0042215535943808,142602376.71896973,202.15701504,1,geoma,G4802650_hot_dry.csv,84.5,590.7,41573.2,2553.3,0.4,2.9,205.6,12.6,506.2,39019.9,0.86,15.28,8.07
317237,2009,hot dry,TX,4,0.0035484743479365,184255188.3243605,157.00613760000002,2,geoma,G4802650_hot_dry.csv,1692.1,2160.4,26846.9,2142.0,10.8,13.8,171.0,13.6,468.3,24704.9,0.22,11.53,5.875
321391,1918,mixed dry,NM,2,0.0010330250762927,151124985.171451,157.00613760000002,1,geoma,G3500090_mixed_dry.csv,11624.4,5479.3,10155.9,705.7,74.0,34.9,64.7,4.5,6145.1,9450.2,1.12,13.39,7.255000000000001
332001,1949,marine,OR,2,0.0007118618616308,170306715.9527039,157.00613760000002,2,geoma,G4100070_marine.csv,28386.8,5030.5,431.4,8.2,180.8,32.0,2.7,0.1,23356.3,423.2,4.64,51.61,28.125
343494,2002,mixed dry,NM,5,0.0035484743479365,184255188.3243605,157.00613760000002,2,geoma,G3500090_mixed_dry.csv,2186.7,15987.9,21123.3,1015.7,13.9,101.8,134.5,6.5,13801.2,20107.6,0.86,19.8,10.33
349621,2009,mixed dry,NM,2,0.0075295906732563,79951700.18251061,113.3417088,1,geoma,G3500090_mixed_dry.csv,23.7,1698.3,20228.6,1496.8,0.2,15.0,178.5,13.2,1674.6,18731.8,0.99,12.51,6.75
363481,1949,hot dry,TX,2,0.0003644491203138,332652348.7336542,306.67293504,2,geoma,G4802650_hot_dry.csv,8223.4,907.8,21405.7,5285.9,26.8,3.0,69.8,17.2,7315.6,16119.8,8.06,3.05,5.555
382272,2002,mixed dry,NM,2,0.0018166984695585,359897264.29509693,306.67293504,2,geoma,G3500090_mixed_dry.csv,7693.4,23003.9,36193.8,1189.8,25.1,75.0,118.0,3.9,15310.5,35004.0,0.67,29.42,15.045000000000002
