id,year,climate_zone,state,inhabitants,resistance[K W-1],capacitance[J K-1],area[m2],stories,method,filename,heating_demand_simulated[kWh],heating_demand_real[kWh],cooling_demand_simulated[kWh],cooling_demand_real[kWh],heating_demand_simulated[kWh]/area[m2],heating_demand_real[kWh]/area[m2],cooling_demand_simulated[kWh]/area[m2],cooling_demand_real[kWh]/area[m2],heating_demand_error,cooling_demand_error,heating_demand_rel_error,cooling_demand_rel_error,fit_score
10939,1919,cold,WI,2,0.0013448528936059,97455945.01599,157.00613760000002,1,geoma,G5500950_cold.csv,43047.7,35048.1,5082.4,349.1,274.2,223.2,32.4,2.2,7999.6,4733.3,0.23,13.56,6.8950000000000005
130744,1919,marine,OR,4,0.0010444859329936,125481737.48804392,202.15701504,1,geoma,G4100070_marine.csv,16838.4,14027.2,8398.9,199.2,83.3,69.4,41.5,1.0,2811.2,8199.7,0.2,41.16,20.68
140101,1984,hot dry,TX,3,0.0031290027187622,36995570.29779472,113.3417088,1,geoma,G4802650_hot_dry.csv,172.8,294.7,14001.6,1781.9,1.5,2.6,123.5,15.7,121.9,12219.7,0.41,6.86,3.6350000000000002
141086,1919,hot dry,TX,1,0.0004832557740876,313627276.7502959,306.67293504,2,geoma,G4802650_hot_dry.csv,14477.7,10098.6,156743.5,2238.7,47.2,32.9,511.1,7.3,4379.1,154504.8,0.43,69.02,34.725
153117,1995,mixed dry,NM,4,0.0005428753666272,881385022.5558405,761.2475097600001,2,geoma,G3500090_mixed_dry.csv,17651.8,18757.1,260033.4,2582.0,23.2,24.6,341.6,3.4,1105.3,257451.4,0.06,99.71,49.885
178508,1984,very cold,MN,2,0.0022588066963846,51247962.13383039,157.00613760000002,1,geoma,G2700270_very_cold.csv,14419.4,17286.7,110515.9,725.3,91.8,110.1,703.9,4.6,2867.3,109790.6,0.17,151.37,75.77
178956,1919,very cold,MN,1,0.0013448528936059,97455945.01599,157.00613760000002,1,geoma,G2700270_very_cold.csv,40664.9,36854.1,3591.4,528.9,259.0,234.7,22.9,3.4,3810.8,3062.5,0.1,5.79,2.945
179265,1919,mixed dry,NM,2,0.0010444859329936,125481737.48804392,202.15701504,1,geoma,G3500090_mixed_dry.csv,14465.5,12322.5,13537.6,2142.7,71.6,61.0,67.0,10.6,2143.0,11394.9,0.17,5.32,2.745
183413,1984,hot dry,TX,3,0.0043134274767118,26836950.58487568,82.2191904,1,geoma,G4802650_hot_dry.csv,279.7,594.5,9345.0,1363.0,3.4,7.2,113.7,16.6,314.8,7982.0,0.53,5.86,3.1950000000000003
204337,1984,hot dry,TX,2,0.0019665935000958,87211614.38163471,113.3417088,2,geoma,G4802650_hot_dry.csv,181.2,615.2,15605.3,1914.7,1.6,5.4,137.7,16.9,434.0,13690.6,0.71,7.15,3.93
206034,1984,hot dry,TX,4,0.0014196710474064,120809531.3975104,157.00613760000002,2,geoma,G4802650_hot_dry.csv,866.4,1196.5,148729.9,2390.4,5.5,7.6,947.3,15.2,330.1,146339.5,0.28,61.22,30.75
210631,1969,hot dry,TX,3,0.0022556750782282,144071374.2542621,113.3417088,1,geoma,G4802650_hot_dry.csv,937.9,2167.5,15522.9,1949.9,8.3,19.1,137.0,17.2,1229.6,13573.0,0.57,6.96,3.765
212698,1984,hot dry,TX,2,0.0007268234080935,235971753.33916083,306.67293504,2,geoma,G4802650_hot_dry.csv,1119.3,2838.8,30029.8,2976.1,3.6,9.3,97.9,9.7,1719.5,27053.7,0.61,9.09,4.85
223249,1995,very cold,MN,2,0.0049108090629254,78167993.78219059,113.3417088,1,geoma,G2700270_very_cold.csv,8784.8,12069.6,28397.8,604.8,77.5,106.5,250.6,5.3,3284.8,27793.0,0.27,45.95,23.110000000000003
22472,1984,hot dry,TX,1,0.0031290027187622,36995570.29779472,113.3417088,1,geoma,G4802650_hot_dry.csv,328.8,870.8,13829.0,2178.2,2.9,7.7,122.0,19.2,542.0,11650.8,0.62,5.35,2.985
