filename,year,inhabitants,heating:demand[kWh]_mean,heating:demand[kWh]_std,heating:load_max[kW]_mean,heating:load_max[kW]_std,cooling:demand[kWh]_mean,cooling:demand[kWh]_std,cooling:load_max[kW]_mean,cooling:load_max[kW]_std,resistance[K W-1]_mean,resistance[K W-1]_std,capacitance[J K-1]_mean,capacitance[J K-1]_std
G2700270_very_cold.csv,1918,1,389928.8,725772.83,83.26,113.57,303447.88,735047.05,151.52,128.74,0.0,0.0,105143977.89,40579734.33
G2700270_very_cold.csv,1918,2,166990.58,98879.98,62.02,35.26,6432.37,7899.63,199.92,315.01,0.0,0.0,191164383.97,120476616.54
G2700270_very_cold.csv,1918,3,218376.71,99715.14,88.28,45.02,5948.01,5528.82,95.42,205.62,0.0,0.0,249861582.26,120564204.28
G2700270_very_cold.csv,1918,4,183615.17,38139.0,66.38,14.08,4614.97,2082.76,44.6,47.54,0.0,0.0,201164726.8,44952877.47
G2700270_very_cold.csv,1918,5,117440.16,51056.73,49.49,28.97,5457.28,4655.0,227.62,289.19,0.0,0.0,161140368.8,117048852.74
G2700270_very_cold.csv,1918,7,291139.86,,166.78,,1614.12,,19.58,,0.0,,295185547.96,
G2700270_very_cold.csv,1918,8,340472.6,,127.09,,1022.85,,24.34,,0.0,,418456567.61,
G2700270_very_cold.csv,1919,1,265252.73,463985.89,59.28,72.23,195349.23,471561.02,101.33,88.97,0.0,0.0,71899871.26,29729279.76
G2700270_very_cold.csv,1919,2,133612.57,83167.47,49.56,29.72,5322.3,6540.86,140.13,231.55,0.0,0.0,130572355.2,94456629.23
G2700270_very_cold.csv,1919,3,178365.69,83137.06,71.38,36.51,4874.78,4261.68,62.5,126.8,0.0,0.0,179751578.33,92908040.86
G2700270_very_cold.csv,1919,4,146502.22,29321.81,52.95,11.04,3760.11,1498.88,28.28,25.1,0.0,0.0,137195888.61,34593380.69
G2700270_very_cold.csv,1919,5,92152.41,38883.55,38.73,22.19,4434.42,3651.67,139.51,182.04,0.0,0.0,103914563.86,75481274.94
G2700270_very_cold.csv,1919,7,226136.38,,119.94,,1454.14,,15.19,,0.0,,190356257.1,
G2700270_very_cold.csv,1919,8,282651.53,,105.43,,928.53,,20.19,,0.0,,313627276.75,
G2700270_very_cold.csv,1949,1,308985.74,521669.76,70.65,80.82,220936.79,532091.54,108.43,95.46,0.0,0.0,79252188.6,31661899.17
G2700270_very_cold.csv,1949,2,170421.93,111348.52,63.15,39.86,6935.74,8610.56,146.38,235.0,0.0,0.0,143995723.52,98322363.75
G2700270_very_cold.csv,1949,3,231422.62,111101.73,90.79,46.03,6473.47,5357.27,71.46,138.9,0.0,0.0,193911483.49,97253541.52
G2700270_very_cold.csv,1949,4,186796.23,38090.35,67.48,14.47,4910.13,1683.53,31.79,24.45,0.0,0.0,151398610.85,35704402.41
G2700270_very_cold.csv,1949,5,115395.47,50013.33,48.5,28.35,5676.72,4695.42,152.7,201.91,0.0,0.0,117520833.48,85364572.72
G2700270_very_cold.csv,1949,7,285671.41,,145.29,,1995.96,,19.17,,0.0,,215280949.67,
G2700270_very_cold.csv,1949,8,372571.52,,138.76,,1431.99,,26.57,,0.0,,332652348.73,
G2700270_very_cold.csv,1958,1,360153.39,643216.51,79.21,100.12,270585.73,653884.1,132.83,114.38,0.0,0.0,94477545.51,36704505.38
G2700270_very_cold.csv,1958,2,173335.38,112822.67,64.3,40.37,6907.05,8802.27,175.7,276.57,0.0,0.0,171746063.59,110264993.35
G2700270_very_cold.csv,1958,3,234941.91,112525.14,93.22,48.03,6454.52,5517.74,86.67,178.31,0.0,0.0,226020929.08,109999055.48
G2700270_very_cold.csv,1958,4,190036.57,38602.53,68.71,14.7,4847.54,1842.12,39.77,37.72,0.0,0.0,180695484.54,40703435.33
G2700270_very_cold.csv,1958,5,117554.38,51094.92,49.49,28.97,5585.18,4716.32,197.29,254.04,0.0,0.0,143729487.98,104401968.28
G2700270_very_cold.csv,1958,7,291338.85,,158.98,,1774.0,,19.58,,0.0,,263291365.05,
G2700270_very_cold.csv,1958,8,377565.86,,140.75,,1335.92,,26.95,,0.0,,380662764.12,
G2700270_very_cold.csv,1969,1,475224.9,967685.91,93.44,151.71,402856.3,980026.9,211.02,175.39,0.0,0.0,140464702.98,54791525.42
G2700270_very_cold.csv,1969,2,153616.07,141552.28,56.7,51.14,6612.47,10717.81,311.59,485.83,0.0,0.0,277572786.2,174861961.55
G2700270_very_cold.csv,1969,3,218944.83,131085.85,91.76,62.62,5273.88,4176.21,131.42,297.26,0.0,0.0,337297178.42,164957070.16
G2700270_very_cold.csv,1969,4,149070.37,54022.21,54.35,21.22,3237.51,1291.78,64.89,86.32,0.0,0.0,268597660.23,60847317.7
G2700270_very_cold.csv,1969,5,76832.83,31568.67,32.52,18.28,3130.9,2742.94,335.87,406.69,0.0,0.0,212800505.25,154573650.2
G2700270_very_cold.csv,1969,7,187567.88,,156.47,,615.97,,12.66,,0.0,,389819349.52,
G2700270_very_cold.csv,1969,8,392063.52,,146.52,,973.89,,28.06,,0.0,,569845562.58,
G2700270_very_cold.csv,1979,1,201035.72,360522.42,44.22,56.4,151007.35,365115.59,86.35,78.1,0.0,0.0,59411137.91,27286794.1
G2700270_very_cold.csv,1979,2,93362.46,54213.43,34.66,19.32,3640.55,4367.28,125.55,219.05,0.0,0.0,107761053.74,88946476.56
G2700270_very_cold.csv,1979,3,121868.24,54361.6,50.43,26.8,3232.01,3021.34,47.9,100.48,0.0,0.0,156303475.77,86971830.26
G2700270_very_cold.csv,1979,4,102350.38,20144.01,37.01,7.49,2566.35,1197.28,21.89,21.37,0.0,0.0,113046163.43,35150989.88
G2700270_very_cold.csv,1979,5,65961.1,26325.58,27.68,15.24,3108.84,2502.2,110.39,143.11,0.0,0.0,80376295.48,58383589.68
G2700270_very_cold.csv,1979,7,159013.18,,87.64,,950.2,,10.69,,0.0,,147237597.88,
G2700270_very_cold.csv,1979,8,188771.28,,70.56,,450.11,,13.51,,0.0,,283178043.16,
