,datetime,is_winter,power[W],measured_occupancy,log_power,occupancy_geoma,occupancy_pht,geoma,occupancy_night_rule_geoma,occupancy_night_rule_pht
0,2012-07-15 00:00:00,0.0,63.694,1,1.804,1,0,1.804,1,0
1,2012-07-15 00:15:00,0.0,83.671,1,1.923,1,0,1.81,1,0
2,2012-07-15 00:30:00,0.0,63.019,1,1.799,0,0,1.809,0,0
3,2012-07-15 00:45:00,0.0,71.192,1,1.852,1,0,1.812,1,0
4,2012-07-15 01:00:00,0.0,142.448,1,2.154,1,0,1.829,1,0
5,2012-07-15 01:15:00,0.0,103.965,1,2.017,1,1,1.838,1,1
6,2012-07-15 01:30:00,0.0,146.616,1,2.166,1,1,1.854,1,1
7,2012-07-15 01:45:00,0.0,99.956,1,2.0,1,1,1.862,1,1
8,2012-07-15 02:00:00,0.0,55.82,1,1.747,0,1,1.856,0,1
9,2012-07-15 02:15:00,0.0,78.396,1,1.894,1,1,1.858,1,1
10,2012-07-15 02:30:00,0.0,84.937,1,1.929,1,1,1.861,1,1
11,2012-07-15 02:45:00,0.0,52.894,1,1.723,0,0,1.855,0,0
12,2012-07-15 03:00:00,0.0,76.622,1,1.884,1,0,1.856,1,0
13,2012-07-15 03:15:00,0.0,93.734,1,1.972,1,0,1.862,1,0
14,2012-07-15 03:30:00,0.0,106.585,1,2.028,1,0,1.87,1,0
15,2012-07-15 03:45:00,0.0,127.028,1,2.104,1,1,1.882,1,1
16,2012-07-15 04:00:00,0.0,128.049,1,2.107,1,1,1.893,1,1
17,2012-07-15 04:15:00,0.0,53.1,1,1.725,0,1,1.885,0,1
18,2012-07-15 04:30:00,0.0,79.449,1,1.9,1,1,1.885,1,1
19,2012-07-15 04:45:00,0.0,79.54,1,1.901,1,1,1.886,1,1
20,2012-07-15 05:00:00,0.0,52.676,1,1.722,0,0,1.878,0,0
21,2012-07-15 05:15:00,0.0,80.524,1,1.906,1,0,1.879,1,0
22,2012-07-15 05:30:00,0.0,217.951,1,2.338,1,1,1.902,1,1
23,2012-07-15 05:45:00,0.0,141.763,1,2.152,1,1,1.915,1,1
24,2012-07-15 06:00:00,0.0,189.537,1,2.278,1,1,1.933,1,1
25,2012-07-15 06:15:00,0.0,334.676,1,2.525,1,1,1.963,1,1
26,2012-07-15 06:30:00,0.0,288.016,1,2.459,1,1,1.987,1,1
