id,year,climate_zone,state,inhabitants,resistance[K W-1],capacitance[J K-1],area[m2],stories,method,latitude[degree],longitude[degree],max_temperature[C],min_temperature[C],RMSE_heating[W],RMSE_cooling[W],RMSE_heating[W/m²],RMSE_cooling[W/m²],RMSE_heating[%peak],RMSE_cooling[%peak],filename,heating_demand_simulated[kWh],heating_demand_real[kWh],cooling_demand_simulated[kWh],cooling_demand_real[kWh],heating_demand_simulated[kWh]/area[m2],heating_demand_real[kWh]/area[m2],cooling_demand_simulated[kWh]/area[m2],cooling_demand_real[kWh]/area[m2]
24083,1918,very cold,MN,3,0.0004943062957544,337579472.7494292,247.40079552,2,geoma,46.93,-96.81,22.22,21.11,13140.48,4413.37,53.1141,17.839,0.6208,5.4621,G2700270_very_cold.csv,111765.9,23404.5,9081.7,584.0,451.8,94.6,36.7,2.4
24083,1919,very cold,MN,3,0.000599033912979,253011038.46896023,247.40079552,2,geoma,46.93,-96.81,22.22,21.11,12798.43,4273.28,51.7315,17.2727,0.6046,5.2887,G2700270_very_cold.csv,108435.0,23404.5,9535.9,584.0,438.3,94.6,38.5,2.4
24083,1949,very cold,MN,3,0.0004517636297995,268359044.1313908,247.40079552,2,geoma,46.93,-96.81,22.22,21.11,13262.85,4923.89,53.6088,19.9025,0.6265,6.0939,G2700270_very_cold.csv,113103.2,23404.5,10489.7,584.0,457.2,94.6,42.4,2.4
24083,1958,very cold,MN,3,0.0004452276004802,307090257.75258785,247.40079552,2,geoma,46.93,-96.81,22.22,21.11,13215.93,5680.7,53.4191,22.9615,0.6243,7.0306,G2700270_very_cold.csv,112351.5,23404.5,12623.2,584.0,454.1,94.6,51.0,2.4
24083,1969,very cold,MN,3,0.0004272930796616,459708795.255663,247.40079552,2,geoma,46.93,-96.81,22.22,21.11,13299.47,5219.44,53.7568,21.0971,0.6283,6.4597,G2700270_very_cold.csv,113119.9,23404.5,10673.3,584.0,457.2,94.6,43.1,2.4
24083,1979,very cold,MN,3,0.0009091787122699,228446873.34953016,247.40079552,2,geoma,46.93,-96.81,22.22,21.11,11567.46,2890.56,46.756,11.6837,0.5464,3.5774,G2700270_very_cold.csv,98185.0,23404.5,6461.3,584.0,396.9,94.6,26.1,2.4
24083,1984,very cold,MN,3,0.0009009553398861,190364368.1133552,247.40079552,2,geoma,46.93,-96.81,22.22,21.11,11437.21,4029.86,46.2295,16.2888,0.5403,4.9875,G2700270_very_cold.csv,96126.4,23404.5,10269.2,584.0,388.5,94.6,41.5,2.4
24083,1995,very cold,MN,3,0.0016704171063251,286444754.0964368,247.40079552,2,geoma,46.93,-96.81,22.22,21.11,6756.18,3054.82,27.3086,12.3476,0.3192,3.7807,G2700270_very_cold.csv,59644.1,23404.5,8312.6,584.0,241.1,94.6,33.6,2.4
24083,2002,very cold,MN,3,0.0022519420383074,290338205.0341845,247.40079552,2,geoma,46.93,-96.81,22.22,21.11,4418.03,2179.65,17.8578,8.8102,0.2087,2.6976,G2700270_very_cold.csv,44541.6,23404.5,5890.4,584.0,180.0,94.6,23.8,2.4
24083,2009,very cold,MN,3,0.0022519420383074,290338205.0341845,247.40079552,2,geoma,46.93,-96.81,22.22,21.11,4418.03,2179.65,17.8578,8.8102,0.2087,2.6976,G2700270_very_cold.csv,44541.6,23404.5,5890.4,584.0,180.0,94.6,23.8,2.4
117861,1918,very cold,MN,2,0.0008023034829663,194584596.29176173,202.15701504,1,geoma,46.93,-96.81,22.22,20.0,15679.93,313.9,77.5631,1.5528,0.4482,0.3139,G2700270_very_cold.csv,131024.4,38150.8,1209.2,401.9,648.1,188.7,6.0,2.0
117861,1919,very cold,MN,2,0.0010444859329936,125481737.48804392,202.15701504,1,geoma,46.93,-96.81,22.22,20.0,10989.64,352.47,54.3619,1.7436,0.3141,0.3525,G2700270_very_cold.csv,98280.6,38150.8,1505.6,401.9,486.2,188.7,7.4,2.0
117861,1949,very cold,MN,2,0.0008197900416715,141911949.8585105,202.15701504,1,geoma,46.93,-96.81,22.22,20.0,15220.09,323.47,75.2884,1.6001,0.435,0.3235,G2700270_very_cold.csv,127895.2,38150.8,1279.7,401.9,632.7,188.7,6.3,2.0
117861,1958,very cold,MN,2,0.0008023253262777,173560136.429943,202.15701504,1,geoma,46.93,-96.81,22.22,20.0,15434.96,357.25,76.3514,1.7672,0.4412,0.3572,G2700270_very_cold.csv,127727.5,38150.8,1546.2,401.9,631.8,188.7,7.6,2.0
117861,1969,very cold,MN,2,0.0012646707699625,256966647.8502248,202.15701504,1,geoma,46.93,-96.81,22.22,20.0,8488.04,395.76,41.9874,1.9577,0.2426,0.3958,G2700270_very_cold.csv,77920.5,38150.8,1876.4,401.9,385.4,188.7,9.3,2.0
117861,1979,very cold,MN,2,0.001513048577921,97058168.12493996,202.15701504,1,geoma,46.93,-96.81,22.22,20.0,6963.66,345.87,34.4468,1.7109,0.199,0.3459,G2700270_very_cold.csv,67716.9,38150.8,1451.6,401.9,335.0,188.7,7.2,2.0
117861,1984,very cold,MN,2,0.0017543121860707,65985541.77705026,202.15701504,1,geoma,46.93,-96.81,22.22,20.0,6090.56,439.45,30.1279,2.1738,0.1741,0.4395,G2700270_very_cold.csv,54267.9,38150.8,2249.2,401.9,268.4,188.7,11.1,2.0
117861,1995,very cold,MN,2,0.0027533028753534,139420946.28692356,202.15701504,1,geoma,46.93,-96.81,22.22,20.0,5443.38,476.74,26.9265,2.3583,0.1556,0.4767,G2700270_very_cold.csv,32320.8,38150.8,2614.7,401.9,159.9,188.7,12.9,2.0
117861,2002,very cold,MN,2,0.0042215535943808,142602376.71896973,202.15701504,1,geoma,46.93,-96.81,22.22,20.0,5932.93,469.61,29.3481,2.323,0.1696,0.4696,G2700270_very_cold.csv,20657.1,38150.8,2549.2,401.9,102.2,188.7,12.6,2.0
117861,2009,very cold,MN,2,0.0042215535943808,142602376.71896973,202.15701504,1,geoma,46.93,-96.81,22.22,20.0,5932.93,469.61,29.3481,2.323,0.1696,0.4696,G2700270_very_cold.csv,20657.1,38150.8,2549.2,401.9,102.2,188.7,12.6,2.0
120812,1918,very cold,MN,2,0.0019726693547284,79139415.31167698,82.2191904,1,geoma,46.93,-96.81,22.22,20.0,3334.65,386.59,40.558,4.702,0.1059,0.292,G2700270_very_cold.csv,63149.4,51287.3,1892.9,879.0,768.1,623.8,23.0,10.7
120812,1919,very cold,MN,2,0.0025681371640611,51034622.09417228,82.2191904,1,geoma,46.93,-96.81,22.22,20.0,3473.35,411.29,42.245,5.0024,0.1103,0.3106,G2700270_very_cold.csv,47404.1,51287.3,2196.3,879.0,576.6,623.8,26.7,10.7
120812,1949,very cold,MN,2,0.0020156645544375,57716946.51874163,82.2191904,1,geoma,46.93,-96.81,22.22,20.0,3271.1,395.81,39.7852,4.814,0.1039,0.2989,G2700270_very_cold.csv,61704.9,51287.3,2038.5,879.0,750.5,623.8,24.8,10.7
120812,1958,very cold,MN,2,0.0019727230621247,70588566.51677369,82.2191904,1,geoma,46.93,-96.81,22.22,20.0,3229.02,437.7,39.2733,5.3235,0.1025,0.3306,G2700270_very_cold.csv,61655.0,51287.3,2361.9,879.0,749.9,623.8,28.7,10.7
120812,1969,very cold,MN,2,0.0031095181869361,104510791.9795262,82.2191904,1,geoma,46.93,-96.81,22.22,20.0,4240.38,456.89,51.5741,5.557,0.1347,0.3451,G2700270_very_cold.csv,37634.9,51287.3,2486.8,879.0,457.7,623.8,30.2,10.7
120812,1979,very cold,MN,2,0.0037202188763346,39474484.73831428,82.2191904,1,geoma,46.93,-96.81,22.22,20.0,4928.87,369.14,59.9479,4.4897,0.1565,0.2788,G2700270_very_cold.csv,32593.2,51287.3,1919.2,879.0,396.4,623.8,23.3,10.7
120812,1984,very cold,MN,2,0.0043134274767118,26836950.58487568,82.2191904,1,geoma,46.93,-96.81,22.22,20.0,5611.09,480.53,68.2455,5.8445,0.1782,0.3629,G2700270_very_cold.csv,26292.3,51287.3,2787.7,879.0,319.8,623.8,33.9,10.7
120812,1995,very cold,MN,2,0.0067697028890045,56703831.55511367,82.2191904,1,geoma,46.93,-96.81,22.22,20.0,7032.32,484.08,85.5313,5.8876,0.2233,0.3656,G2700270_very_cold.csv,15653.6,51287.3,2800.0,879.0,190.4,623.8,34.1,10.7
120812,2002,very cold,MN,2,0.0103797747134155,57997749.72255892,82.2191904,1,geoma,46.93,-96.81,22.22,20.0,7888.36,398.05,95.9431,4.8414,0.2505,0.3006,G2700270_very_cold.csv,9928.7,51287.3,2222.9,879.0,120.8,623.8,27.0,10.7
120812,2009,very cold,MN,2,0.0103797747134155,57997749.72255892,82.2191904,1,geoma,46.93,-96.81,22.22,20.0,7888.36,398.05,95.9431,4.8414,0.2505,0.3006,G2700270_very_cold.csv,9928.7,51287.3,2222.9,879.0,120.8,623.8,27.0,10.7
122548,1918,very cold,MN,8,0.0003987693624944,418456567.61016375,306.67293504,2,geoma,46.93,-96.81,24.44,20.0,28291.33,2936.38,92.2525,9.575,0.4478,1.0593,G2700270_very_cold.csv,248201.2,70064.4,3802.9,623.9,809.3,228.5,12.4,2.0
122548,1919,very cold,MN,8,0.0004832557740876,313627276.7502959,306.67293504,2,geoma,46.93,-96.81,24.44,20.0,22956.52,3066.4,74.8567,9.9989,0.3634,1.1062,G2700270_very_cold.csv,211245.6,70064.4,4591.8,623.9,688.8,228.5,15.0,2.0
122548,1949,very cold,MN,8,0.0003644491203138,332652348.7336542,306.67293504,2,geoma,46.93,-96.81,24.44,20.0,30197.72,3422.61,98.4688,11.1605,0.478,1.2347,G2700270_very_cold.csv,262036.7,70064.4,4789.4,623.9,854.4,228.5,15.6,2.0
122548,1958,very cold,MN,8,0.0003591763405267,380662764.1161444,306.67293504,2,geoma,46.93,-96.81,24.44,20.0,30312.6,4123.17,98.8434,13.4448,0.4798,1.4874,G2700270_very_cold.csv,261331.0,70064.4,6146.4,623.9,852.1,228.5,20.0,2.0
122548,1969,very cold,MN,8,0.0003447081100087,569845562.5756452,306.67293504,2,geoma,46.93,-96.81,24.44,20.0,31460.51,3458.38,102.5865,11.2771,0.498,1.2476,G2700270_very_cold.csv,269407.6,70064.4,4396.3,623.9,878.5,228.5,14.3,2.0
122548,1979,very cold,MN,8,0.0007334574101105,283178043.1568904,306.67293504,2,geoma,46.93,-96.81,24.44,20.0,12842.26,2020.75,41.8761,6.5893,0.2033,0.729,G2700270_very_cold.csv,141040.0,70064.4,3001.2,623.9,459.9,228.5,9.8,2.0
122548,1984,very cold,MN,8,0.0007268234080935,235971753.33916083,306.67293504,2,geoma,46.93,-96.81,24.44,20.0,12745.41,3287.6,41.5603,10.7202,0.2017,1.186,G2700270_very_cold.csv,137114.5,70064.4,6251.1,623.9,447.1,228.5,20.4,2.0
122548,1995,very cold,MN,8,0.0013475676322762,355071022.63324744,306.67293504,2,geoma,46.93,-96.81,24.44,20.0,7661.86,2674.99,24.9838,8.7226,0.1213,0.965,G2700270_very_cold.csv,68479.7,70064.4,5863.4,623.9,223.3,228.5,19.1,2.0
122548,2002,very cold,MN,8,0.0018166984695585,359897264.29509693,306.67293504,2,geoma,46.93,-96.81,24.44,20.0,8331.09,1846.72,27.166,6.0218,0.1319,0.6662,G2700270_very_cold.csv,50741.1,70064.4,3999.1,623.9,165.5,228.5,13.0,2.0
122548,2009,very cold,MN,8,0.0018166984695585,359897264.29509693,306.67293504,2,geoma,46.93,-96.81,24.44,20.0,8331.09,1846.72,27.166,6.0218,0.1319,0.6662,G2700270_very_cold.csv,50741.1,70064.4,3999.1,623.9,165.5,228.5,13.0,2.0
122722,1918,very cold,MN,3,0.0003987693624944,418456567.61016375,306.67293504,2,geoma,46.93,-96.81,22.22,20.0,26636.38,5350.4,86.856,17.4466,0.5248,2.7077,G2700270_very_cold.csv,238281.6,64581.2,11219.4,1006.6,777.0,210.6,36.6,3.3
122722,1919,very cold,MN,3,0.0004832557740876,313627276.7502959,306.67293504,2,geoma,46.93,-96.81,22.22,20.0,23438.2,5172.66,76.4273,16.867,0.4618,2.6177,G2700270_very_cold.csv,215703.8,64581.2,11767.4,1006.6,703.4,210.6,38.4,3.3
122722,1949,very cold,MN,3,0.0003644491203138,332652348.7336542,306.67293504,2,geoma,46.93,-96.81,22.22,20.0,27611.69,5988.86,90.0363,19.5285,0.544,3.0308,G2700270_very_cold.csv,245812.8,64581.2,12986.8,1006.6,801.5,210.6,42.3,3.3
122722,1958,very cold,MN,3,0.0003591763405267,380662764.1161444,306.67293504,2,geoma,46.93,-96.81,22.22,20.0,27597.61,6921.67,89.9904,22.5702,0.5437,3.5029,G2700270_very_cold.csv,244544.8,64581.2,15624.5,1006.6,797.4,210.6,50.9,3.3
122722,1969,very cold,MN,3,0.0003447081100087,569845562.5756452,306.67293504,2,geoma,46.93,-96.81,22.22,20.0,28175.23,6351.94,91.8739,20.7124,0.5551,3.2145,G2700270_very_cold.csv,248369.7,64581.2,13183.3,1006.6,809.9,210.6,43.0,3.3
122722,1979,very cold,MN,3,0.0007334574101105,283178043.1568904,306.67293504,2,geoma,46.93,-96.81,22.22,20.0,14449.4,3456.02,47.1167,11.2694,0.2847,1.749,G2700270_very_cold.csv,155308.9,64581.2,7927.2,1006.6,506.4,210.6,25.8,3.3
122722,1984,very cold,MN,3,0.0007268234080935,235971753.33916083,306.67293504,2,geoma,46.93,-96.81,22.22,20.0,14140.92,4871.33,46.1108,15.8845,0.2786,2.4652,G2700270_very_cold.csv,151226.2,64581.2,12642.8,1006.6,493.1,210.6,41.2,3.3
122722,1995,very cold,MN,3,0.0013475676322762,355071022.63324744,306.67293504,2,geoma,46.93,-96.81,22.22,20.0,5779.65,3668.24,18.8463,11.9614,0.1139,1.8564,G2700270_very_cold.csv,76751.5,64581.2,10191.8,1006.6,250.3,210.6,33.2,3.3
122722,2002,very cold,MN,3,0.0018166984695585,359897264.29509693,306.67293504,2,geoma,46.93,-96.81,22.22,20.0,5892.17,2578.16,19.2132,8.4069,0.1161,1.3047,G2700270_very_cold.csv,57271.8,64581.2,7158.7,1006.6,186.8,210.6,23.3,3.3
