,id,year,filename,inhabitants,resistance[K W-1],capacitance[J K-1],method,heating:demand[Wh],heating:load_max[W],cooling:demand[Wh],cooling:load_max[W],stories,area[m2],climate_zone
2289,8061,1918,G5500950_cold.csv,2,0.0007788980269788,214235564.756491,geoma,2982582146,606719,2814181152,545809,2,157.00613760000002,cold
2290,8061,1919,G5500950_cold.csv,2,0.0009439214853629,160566524.60103002,geoma,2242510658,454537,2102081416,403729,2,157.00613760000002,cold
2291,8061,1949,G5500950_cold.csv,2,0.0007118618616308,170306715.9527039,geoma,2395925179,481673,2212215964,415157,2,157.00613760000002,cold
2292,8061,1958,G5500950_cold.csv,2,0.0007015627811117,194886419.6777595,geoma,2729706557,551488,2543509615,484101,2,157.00613760000002,cold
2293,8061,1969,G5500950_cold.csv,2,0.0006733026456443,291741593.6845927,geoma,4043675802,826719,3850237445,756781,2,157.00613760000002,cold
2294,8061,1979,G5500950_cold.csv,2,0.0014326289412868,144977550.1166752,geoma,2008997555,410841,1913789693,376419,2,157.00613760000002,cold
2295,8061,1984,G5500950_cold.csv,2,0.0014196710474064,120809531.3975104,geoma,1682455276,342120,1586396272,307374,2,157.00613760000002,cold
2296,8061,1995,G5500950_cold.csv,2,0.0026321424580733,181784316.34358928,geoma,2487057446,516124,2431643397,496106,2,157.00613760000002,cold
2297,8061,2002,G5500950_cold.csv,2,0.0035484743479365,184255188.3243605,geoma,2514363748,523354,2471193688,507758,2,157.00613760000002,cold
2298,8061,2009,G5500950_cold.csv,2,0.0035484743479365,184255188.3243605,geoma,2514363748,523354,2471193688,507758,2,157.00613760000002,cold
2299,10939,1918,G5500950_cold.csv,2,0.0010330250762927,151124985.171451,geoma,122316413,50525,273927,11322,1,157.00613760000002,cold
2300,10939,1919,G5500950_cold.csv,2,0.0013448528936059,97455945.01599,geoma,95858400,39547,287399,9452,1,157.00613760000002,cold
2301,10939,1949,G5500950_cold.csv,2,0.0010555403140101,110216541.9397439,geoma,120093895,49515,402937,11834,1,157.00613760000002,cold
2302,10939,1958,G5500950_cold.csv,2,0.0010330532011718,134796245.6647995,geoma,122405080,50524,331829,12075,1,157.00613760000002,cold
2303,10939,1969,G5500950_cold.csv,2,0.0016283571570641,199574280.7292647,geoma,79933754,33215,7985,2370,1,157.00613760000002,cold
2304,10939,1979,G5500950_cold.csv,2,0.0019481619559503,75380654.47203517,geoma,68526212,28284,186054,6760,1,157.00613760000002,cold
2305,10939,1984,G5500950_cold.csv,2,0.0022588066963846,51247962.13383039,geoma,60255005,24832,217267,5935,1,157.00613760000002,cold
2306,10939,1995,G5500950_cold.csv,2,0.0035450810986798,108281893.02614926,geoma,40827769,16975,0,0,1,157.00613760000002,cold
2307,10939,2002,G5500950_cold.csv,2,0.0054355624978537,110752765.00692044,geoma,29180284,12177,0,0,1,157.00613760000002,cold
2308,10939,2009,G5500950_cold.csv,2,0.0054355624978537,110752765.00692044,geoma,29180284,12177,0,0,1,157.00613760000002,cold
2309,15311,1918,G5500950_cold.csv,2,0.0003987693624944,418456567.61016375,geoma,2417950538,632460,2103027424,808651,2,306.67293504,cold
2310,15311,1919,G5500950_cold.csv,2,0.0004832557740876,313627276.7502959,geoma,1824878399,483341,1563530519,596360,2,306.67293504,cold
2311,15311,1949,G5500950_cold.csv,2,0.0003644491203138,332652348.7336542,geoma,1969095525,537316,1624858788,606845,2,306.67293504,cold
2312,15311,1958,G5500950_cold.csv,2,0.0003591763405267,380662764.1161444,geoma,2230830274,598351,1881825614,711636,2,306.67293504,cold
2313,15311,1969,G5500950_cold.csv,2,0.0003447081100087,569845562.5756452,geoma,3259725456,836961,2896849769,1126535,2,306.67293504,cold
2314,15311,1979,G5500950_cold.csv,2,0.0007334574101105,283178043.1568904,geoma,1617089801,413859,1442347794,561963,2,306.67293504,cold
2315,15311,1984,G5500950_cold.csv,2,0.0007268234080935,235971753.33916083,geoma,1362896257,356201,1186527461,456474,2,306.67293504,cold
2316,15311,1995,G5500950_cold.csv,2,0.0013475676322762,355071022.63324744,geoma,1967348188,474425,1868817058,751009,2,306.67293504,cold
2317,15311,2002,G5500950_cold.csv,2,0.0018166984695585,359897264.29509693,geoma,1981694639,471710,1906613118,770765,2,306.67293504,cold
2318,15311,2009,G5500950_cold.csv,2,0.0018166984695585,359897264.29509693,geoma,1981694639,471710,1906613118,770765,2,306.67293504,cold
2319,25361,1918,G5500950_cold.csv,1,0.0014309937532251,109096143.1415208,geoma,60735052,32271,2286168,71885,1,113.3417088,cold
2320,25361,1919,G5500950_cold.csv,1,0.0018629519591755,70352812.37840699,geoma,47928299,25425,1892678,41209,1,113.3417088,cold
2321,25361,1949,G5500950_cold.csv,1,0.0014621828939977,79564604.24052519,geoma,59686158,31641,2411798,43384,1,113.3417088,cold
2322,25361,1958,G5500950_cold.csv,1,0.0014310327130987,97308532.37340556,geoma,60791763,32270,2352402,60229,1,113.3417088,cold
2323,25361,1969,G5500950_cold.csv,1,0.0022556750782282,144071374.2542621,geoma,40145324,21476,1263791,118513,1,113.3417088,cold
2324,25361,1979,G5500950_cold.csv,1,0.0026986833652099,54416803.820049055,geoma,34671542,18402,1347942,33284,1,113.3417088,cold
2325,25361,1984,G5500950_cold.csv,1,0.0031290027187622,36995570.29779472,geoma,30670531,16248,1267945,18458,1,113.3417088,cold
2326,25361,1995,G5500950_cold.csv,1,0.0049108090629254,78167993.78219059,geoma,21208356,11349,662535,64638,1,113.3417088,cold
2327,25361,2002,G5500950_cold.csv,1,0.0075295906732563,79951700.18251061,geoma,15548065,8357,438485,69740,1,113.3417088,cold
2328,25361,2009,G5500950_cold.csv,1,0.0075295906732563,79951700.18251061,geoma,15548065,8357,438485,69740,1,113.3417088,cold
2329,27799,1918,G5500950_cold.csv,5,0.0003987693624944,418456567.61016375,geoma,204439167,108697,12591933,808651,2,306.67293504,cold
2330,27799,1919,G5500950_cold.csv,5,0.0004832557740876,313627276.7502959,geoma,169752597,90174,10602696,596360,2,306.67293504,cold
2331,27799,1949,G5500950_cold.csv,5,0.0003644491203138,332652348.7336542,geoma,223776352,118674,14365499,606845,2,306.67293504,cold
2332,27799,1958,G5500950_cold.csv,5,0.0003591763405267,380662764.1161444,geoma,226783790,120376,14340277,711636,2,306.67293504,cold
2333,27799,1969,G5500950_cold.csv,5,0.0003447081100087,569845562.5756452,geoma,235377794,125313,14192665,1126535,2,306.67293504,cold
2334,27799,1979,G5500950_cold.csv,5,0.0007334574101105,283178043.1568904,geoma,113325744,60350,6805148,561963,2,306.67293504,cold
2335,27799,1984,G5500950_cold.csv,5,0.0007268234080935,235971753.33916083,geoma,114489263,60875,7045822,456474,2,306.67293504,cold
2336,27799,1995,G5500950_cold.csv,5,0.0013475676322762,355071022.63324744,geoma,63450991,34099,3427310,751009,2,306.67293504,cold
2337,27799,2002,G5500950_cold.csv,5,0.0018166984695585,359897264.29509693,geoma,48133461,26002,2492702,770765,2,306.67293504,cold
