,id,year,filename,inhabitants,resistance[K W-1],capacitance[J K-1],method,heating:demand[Wh],heating:load_max[W],cooling:demand[Wh],cooling:load_max[W],stories,area[m2],climate_zone
1609,2011,1918,G4802650_hot_dry.csv,1,0.0010330250762927,151124985.171451,geoma,12329117,22396,55072412,1051962,1,157.00613760000002,hot dry
1610,2011,1919,G4802650_hot_dry.csv,1,0.0013448528936059,97455945.01599,geoma,9898362,17529,43253274,674323,1,157.00613760000002,hot dry
1611,2011,1949,G4802650_hot_dry.csv,1,0.0010555403140101,110216541.9397439,geoma,12547398,21948,54252431,759827,1,157.00613760000002,hot dry
1612,2011,1958,G4802650_hot_dry.csv,1,0.0010330532011718,134796245.6647995,geoma,12519044,22395,55181951,935122,1,157.00613760000002,hot dry
1613,2011,1969,G4802650_hot_dry.csv,1,0.0016283571570641,199574280.7292647,geoma,7379634,14723,35875279,1408723,1,157.00613760000002,hot dry
1614,2011,1979,G4802650_hot_dry.csv,1,0.0019481619559503,75380654.47203517,geoma,7009503,12537,30892958,522920,1,157.00613760000002,hot dry
1615,2011,1984,G4802650_hot_dry.csv,1,0.0022588066963846,51247962.13383039,geoma,6350772,11007,27246750,352248,1,157.00613760000002,hot dry
1616,2011,1995,G4802650_hot_dry.csv,1,0.0035450810986798,108281893.02614926,geoma,3737627,7524,18320700,764932,1,157.00613760000002,hot dry
1617,2011,2002,G4802650_hot_dry.csv,1,0.0054355624978537,110752765.00692044,geoma,2550662,5397,13106473,785406,1,157.00613760000002,hot dry
1618,2011,2009,G4802650_hot_dry.csv,1,0.0054355624978537,110752765.00692044,geoma,2550662,5397,13106473,785406,1,157.00613760000002,hot dry
1619,4123,1918,G4802650_hot_dry.csv,5,0.0010330250762927,151124985.171451,geoma,11461616,22396,10161810,17809,1,157.00613760000002,hot dry
1620,4123,1919,G4802650_hot_dry.csv,5,0.0013448528936059,97455945.01599,geoma,9247602,17529,8024852,13939,1,157.00613760000002,hot dry
1621,4123,1949,G4802650_hot_dry.csv,5,0.0010555403140101,110216541.9397439,geoma,11766824,21948,10096967,17453,1,157.00613760000002,hot dry
1622,4123,1958,G4802650_hot_dry.csv,5,0.0010330532011718,134796245.6647995,geoma,11669309,22395,10212908,17808,1,157.00613760000002,hot dry
1623,4123,1969,G4802650_hot_dry.csv,5,0.0016283571570641,199574280.7292647,geoma,6696086,14723,6479648,11707,1,157.00613760000002,hot dry
1624,4123,1979,G4802650_hot_dry.csv,5,0.0019481619559503,75380654.47203517,geoma,6533916,12537,5717777,9969,1,157.00613760000002,hot dry
1625,4123,1984,G4802650_hot_dry.csv,5,0.0022588066963846,51247962.13383039,geoma,5972042,11007,5082025,8752,1,157.00613760000002,hot dry
1626,4123,1995,G4802650_hot_dry.csv,5,0.0035450810986798,108281893.02614926,geoma,3391296,7524,3303748,5983,1,157.00613760000002,hot dry
1627,4123,2002,G4802650_hot_dry.csv,5,0.0054355624978537,110752765.00692044,geoma,2284568,5397,2339759,4292,1,157.00613760000002,hot dry
1628,4123,2009,G4802650_hot_dry.csv,5,0.0054355624978537,110752765.00692044,geoma,2284568,5397,2339759,4292,1,157.00613760000002,hot dry
1629,15471,1918,G4802650_hot_dry.csv,4,0.0007788980269788,214235564.756491,geoma,1170682420,211263,1143852565,173439,2,157.00613760000002,hot dry
1630,15471,1919,G4802650_hot_dry.csv,4,0.0009439214853629,160566524.60103002,geoma,878542665,158309,856168559,126759,2,157.00613760000002,hot dry
1631,15471,1949,G4802650_hot_dry.csv,4,0.0007118618616308,170306715.9527039,geoma,934606319,167857,905334929,126555,2,157.00613760000002,hot dry
1632,15471,1958,G4802650_hot_dry.csv,4,0.0007015627811117,194886419.6777595,geoma,1067579822,192118,1037912966,150274,2,157.00613760000002,hot dry
1633,15471,1969,G4802650_hot_dry.csv,4,0.0006733026456443,291741593.6845927,geoma,1591351591,287781,1560534633,244349,2,157.00613760000002,hot dry
1634,15471,1979,G4802650_hot_dry.csv,4,0.0014326289412868,144977550.1166752,geoma,790730201,143011,775562549,121635,2,157.00613760000002,hot dry
1635,15471,1984,G4802650_hot_dry.csv,4,0.0014196710474064,120809531.3975104,geoma,660246612,119131,644942315,97555,2,157.00613760000002,hot dry
1636,15471,1995,G4802650_hot_dry.csv,4,0.0026321424580733,181784316.34358928,geoma,986382876,179525,977558827,167093,2,157.00613760000002,hot dry
1637,15471,2002,G4802650_hot_dry.csv,4,0.0035484743479365,184255188.3243605,geoma,998754410,182016,991881832,172330,2,157.00613760000002,hot dry
1638,15471,2009,G4802650_hot_dry.csv,4,0.0035484743479365,184255188.3243605,geoma,998754410,182016,991881832,172330,2,157.00613760000002,hot dry
