,id,year,filename,inhabitants,resistance[K W-1],capacitance[J K-1],method,heating:demand[Wh],heating:load_max[W],cooling:demand[Wh],cooling:load_max[W],stories,area[m2],climate_zone
268,55734,1918,G2800730_hot_humid.csv,2,0.0006049345889679,275844135.4497777,geoma,59550692,57211,23869186,24877,2,202.15701504,hot humid
269,55734,1919,G2800730_hot_humid.csv,2,0.0007331007859666,206741276.6460599,geoma,49641990,47587,19907817,20692,2,202.15701504,hot humid
270,55734,1949,G2800730_hot_humid.csv,2,0.0005528706554026,219282493.4396945,geoma,65384466,62395,26274631,27131,2,202.15701504,hot humid
271,55734,1958,G2800730_hot_humid.csv,2,0.0005448718290803,250930680.011127,geoma,66140827,63279,26545309,27516,2,202.15701504,hot humid
272,55734,1969,G2800730_hot_humid.csv,2,0.0005229234701925,375638880.389156,geoma,68290644,65844,27360751,28631,2,202.15701504,hot humid
273,55734,1979,G2800730_hot_humid.csv,2,0.0011126575876722,186669318.96679595,geoma,33270974,32092,13329510,13955,2,202.15701504,hot humid
274,55734,1984,G2800730_hot_humid.csv,2,0.0011025937822228,155551207.29052225,geoma,33691492,32366,13504462,14073,2,202.15701504,hot humid
275,55734,1995,G2800730_hot_humid.csv,2,0.0020442650524558,234060752.8778996,geoma,18837500,18453,7572304,8024,2,202.15701504,hot humid
276,55734,2002,G2800730_hot_humid.csv,2,0.0027559382573588,237242183.30994573,geoma,14466213,14247,5823117,6195,2,202.15701504,hot humid
277,55734,2009,G2800730_hot_humid.csv,2,0.0027559382573588,237242183.30994573,geoma,14466213,14247,5823117,6195,2,202.15701504,hot humid
278,72646,1918,G2800730_hot_humid.csv,1,0.0014309937532251,109096143.1415208,geoma,51859796,451815,5719058,8508,1,113.3417088,hot humid
279,72646,1919,G2800730_hot_humid.csv,1,0.0018629519591755,70352812.37840699,geoma,40843046,294261,4505840,6703,1,113.3417088,hot humid
280,72646,1949,G2800730_hot_humid.csv,1,0.0014621828939977,79564604.24052519,geoma,50820637,334605,5607449,8342,1,113.3417088,hot humid
281,72646,1958,G2800730_hot_humid.csv,1,0.0014310327130987,97308532.37340556,geoma,51846850,405188,5718915,8508,1,113.3417088,hot humid
282,72646,1969,G2800730_hot_humid.csv,1,0.0022556750782282,144071374.2542621,geoma,34583865,583378,3806088,5662,1,113.3417088,hot humid
283,72646,1979,G2800730_hot_humid.csv,1,0.0026986833652099,54416803.820049055,geoma,29564359,226812,3261184,4852,1,113.3417088,hot humid
284,72646,1984,G2800730_hot_humid.csv,1,0.0031290027187622,36995570.29779472,geoma,26094333,156548,2879619,4284,1,113.3417088,hot humid
285,72646,1995,G2800730_hot_humid.csv,1,0.0049108090629254,78167993.78219059,geoma,18278357,316330,2011383,2992,1,113.3417088,hot humid
286,72646,2002,G2800730_hot_humid.csv,1,0.0075295906732563,79951700.18251061,geoma,13481538,321505,1481096,2203,1,113.3417088,hot humid
287,72646,2009,G2800730_hot_humid.csv,1,0.0075295906732563,79951700.18251061,geoma,13481538,321505,1481096,2203,1,113.3417088,hot humid
288,89391,1918,G2800730_hot_humid.csv,2,0.0010330250762927,151124985.171451,geoma,11235039,26941,23675004,308406,1,157.00613760000002,hot humid
