,id,year,filename,inhabitants,resistance[K W-1],capacitance[J K-1],method,heating:demand[Wh],heating:load_max[W],cooling:demand[Wh],cooling:load_max[W],stories,area[m2],climate_zone
370,6802,1918,G3500090_mixed_dry.csv,1,0.0019726693547284,79139415.31167698,geoma,34120475,19868,4719010,9825,1,82.2191904,mixed dry
371,6802,1919,G3500090_mixed_dry.csv,1,0.0025681371640611,51034622.09417228,geoma,27172716,15785,3829551,7806,1,82.2191904,mixed dry
372,6802,1949,G3500090_mixed_dry.csv,1,0.0020156645544375,57716946.51874163,geoma,33591022,19493,4773064,9639,1,82.2191904,mixed dry
373,6802,1958,G3500090_mixed_dry.csv,1,0.0019727230621247,70588566.51677369,geoma,34164793,19868,4773704,9825,1,82.2191904,mixed dry
374,6802,1969,G3500090_mixed_dry.csv,1,0.0031095181869361,104510791.9795262,geoma,22872101,13430,3018992,6641,1,82.2191904,mixed dry
375,6802,1979,G3500090_mixed_dry.csv,1,0.0037202188763346,39474484.73831428,geoma,19950112,11596,2798469,5734,1,82.2191904,mixed dry
376,6802,1984,G3500090_mixed_dry.csv,1,0.0043134274767118,26836950.58487568,geoma,17801274,10312,2563691,5099,1,82.2191904,mixed dry
377,6802,1995,G3500090_mixed_dry.csv,1,0.0067697028890045,56703831.55511367,geoma,12587271,7389,1662944,3654,1,82.2191904,mixed dry
378,6802,2002,G3500090_mixed_dry.csv,1,0.0103797747134155,57997749.72255892,geoma,9513885,5604,1233092,2771,1,82.2191904,mixed dry
379,6802,2009,G3500090_mixed_dry.csv,1,0.0103797747134155,57997749.72255892,geoma,9513885,5604,1233092,2771,1,82.2191904,mixed dry
380,36022,1918,G3500090_mixed_dry.csv,2,0.0010330250762927,151124985.171451,geoma,75625126,37612,15807342,115293,1,157.00613760000002,mixed dry
381,36022,1919,G3500090_mixed_dry.csv,2,0.0013448528936059,97455945.01599,geoma,59193441,29440,12367602,69641,1,157.00613760000002,mixed dry
382,36022,1949,G3500090_mixed_dry.csv,2,0.0010555403140101,110216541.9397439,geoma,74113502,36860,15482012,75522,1,157.00613760000002,mixed dry
383,36022,1958,G3500090_mixed_dry.csv,2,0.0010330532011718,134796245.6647995,geoma,75623196,37611,15802903,99147,1,157.00613760000002,mixed dry
384,36022,1969,G3500090_mixed_dry.csv,2,0.0016283571570641,199574280.7292647,geoma,49716067,24726,10416547,174905,1,157.00613760000002,mixed dry
385,36022,1979,G3500090_mixed_dry.csv,2,0.0019481619559503,75380654.47203517,geoma,42335952,21056,8846881,55424,1,157.00613760000002,mixed dry
386,36022,1984,G3500090_mixed_dry.csv,2,0.0022588066963846,51247962.13383039,geoma,37168068,18485,7763265,33893,1,157.00613760000002,mixed dry
387,36022,1995,G3500090_mixed_dry.csv,2,0.0035450810986798,108281893.02614926,geoma,25408774,12637,5325219,95604,1,157.00613760000002,mixed dry
388,36022,2002,G3500090_mixed_dry.csv,2,0.0054355624978537,110752765.00692044,geoma,18226622,9065,3828147,101291,1,157.00613760000002,mixed dry
389,36022,2009,G3500090_mixed_dry.csv,2,0.0054355624978537,110752765.00692044,geoma,18226622,9065,3828147,101291,1,157.00613760000002,mixed dry
390,47293,1918,G3500090_mixed_dry.csv,4,0.0019726693547284,79139415.31167698,geoma,34102049,19868,1065090,7915,1,82.2191904,mixed dry
391,47293,1919,G3500090_mixed_dry.csv,4,0.0025681371640611,51034622.09417228,geoma,27156428,15785,933744,6288,1,82.2191904,mixed dry
392,47293,1949,G3500090_mixed_dry.csv,4,0.0020156645544375,57716946.51874163,geoma,33567802,19493,1201493,7765,1,82.2191904,mixed dry
393,47293,1958,G3500090_mixed_dry.csv,4,0.0019727230621247,70588566.51677369,geoma,34144579,19868,1125627,7915,1,82.2191904,mixed dry
394,47293,1969,G3500090_mixed_dry.csv,4,0.0031095181869361,104510791.9795262,geoma,22864438,13430,535158,5350,1,82.2191904,mixed dry
395,47293,1979,G3500090_mixed_dry.csv,4,0.0037202188763346,39474484.73831428,geoma,19938208,11596,669934,4619,1,82.2191904,mixed dry
